# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   -0.046764793              0   -0.049509176              0    -0.04402041              0
            0.2    -0.17347306              0    -0.17767668              0    -0.16926944              0
            0.4    -0.32572666              0    -0.33044057              0    -0.32101275              0
            0.6    -0.50856772              0    -0.51348944              0      -0.503646              0
            0.8    -0.70347719              0    -0.70849976              0    -0.69845462              0
              1    -0.93948015              0    -0.94442455              0    -0.93453575              0
            1.2     -1.2181214              0     -1.2233613              0     -1.2128815              0
            1.4     -1.5305016              0     -1.5369023              0     -1.5241009              0
            1.6     -1.9280998              0      -1.933811              0     -1.9223886              0
            1.8     -2.4454717              0     -2.4513772              0     -2.4395662              0
              2     -3.1456698              0     -3.1524774              0     -3.1388622              0
            2.2     -4.1215776              0     -4.1290532              0      -4.114102              0
            2.4     -5.4814402              0     -5.4894062              0     -5.4734742              0
            2.6     -7.4667027              0     -7.4757786              0     -7.4576268              0
            2.8      -10.56797              0     -10.578974              0     -10.556966              0
              3     -15.283724              0     -15.296847              0     -15.270601              0
            3.2     -8.4705443              0     -8.4836645              0     -8.4574241              0
            3.4     -2.0824841              0     -2.0885764              0     -2.0763918              0
            3.6    -0.79028695              0    -0.79401144              0    -0.78656246              0
            3.8    -0.38813805              0    -0.39084974              0    -0.38542636              0
              4    -0.21249651              0    -0.21455429              0    -0.21043873              0
            4.2    -0.12994045              0    -0.13142352              0    -0.12845738              0
            4.4   -0.083915165              0   -0.085110707              0   -0.082719623              0
            4.6   -0.054701226              0   -0.055744976              0   -0.053657476              0
            4.8   -0.035724442              0    -0.03662239              0   -0.034826494              0
              5   -0.035724442              0    -0.03662239              0   -0.034826494              0
