# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0              0              0              0              0              0              0
            0.2              0              0              0              0              0              0
            0.4              0              0              0              0              0              0
            0.6              0              0              0              0              0              0
            0.8              0              0              0              0              0              0
              1              0              0              0              0              0              0
            1.2              0              0              0              0              0              0
            1.4              0              0              0              0              0              0
            1.6              0              0              0              0              0              0
            1.8              0              0              0              0              0              0
              2              0              0              0              0              0              0
            2.2              0              0              0              0              0              0
            2.4              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
              3     -9.9775907              0     -9.9896936              0     -9.9654878              0
            3.2     -50.373088              0     -50.395353              0     -50.350823              0
            3.4      -6.537275              0     -6.5484772              0     -6.5260728              0
            3.6    -0.89712072              0    -0.90453926              0    -0.88970218              0
            3.8    -0.18619544              0    -0.19168321              0    -0.18070767              0
              4   -0.057766183              0   -0.061926213              0   -0.053606153              0
            4.2   -0.031357312              0   -0.034673767              0   -0.028040857              0
            4.4   -0.032448437              0   -0.034879808              0   -0.030017066              0
            4.6   -0.026528403              0   -0.028632279              0   -0.024424527              0
            4.8    -0.01798898              0   -0.019784304              0   -0.016193656              0
              5    -0.01798898              0   -0.019784304              0   -0.016193656              0
