#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0016500105              0   0.0013993611              0   0.0019006599              0
           -3.8   0.0023306315              0    0.001990165              0    0.002671098              0
           -3.6   0.0039416208              0   0.0034787957              0   0.0044044459              0
           -3.4   0.0067830649              0    0.006154261              0   0.0074118688              0
           -3.2   0.0099158706              0   0.0091962774              0    0.010635464              0
             -3     0.01893373              0    0.017805168              0    0.020062292              0
           -2.8    0.030414605              0    0.029013939              0     0.03181527              0
           -2.6    0.043823062              0    0.042273476              0    0.045372648              0
           -2.4    0.066274747              0    0.064443432              0    0.068106062              0
           -2.2       0.100729              0    0.098529457              0     0.10292854              0
             -2     0.14767643              0     0.14507182              0     0.15028104              0
           -1.8     0.20824849              0      0.2053158              0     0.21118118              0
           -1.6     0.27090939              0     0.26786973              0     0.27394905              0
           -1.4      0.3286773              0     0.32520574              0     0.33214886              0
           -1.2     0.33284004              0      0.3289574              0     0.33672268              0
             -1     0.20083828              0     0.19664436              0      0.2050322              0
           -0.8    -0.25488325              0    -0.25946795              0    -0.25029855              0
           -0.6     -1.5316305              0     -1.5370513              0     -1.5262097              0
           -0.4      -5.182912              0     -5.1900185              0     -5.1758055              0
           -0.2     -28.900544              0     -28.917642              0     -28.883446              0
              0     -28.916264              0     -28.933584              0     -28.898944              0
            0.2     -5.1921858              0     -5.1992882              0     -5.1850834              0
            0.4     -1.5303168              0     -1.5358401              0     -1.5247935              0
            0.6     -0.2605978              0    -0.26516164              0    -0.25603396              0
            0.8     0.20435205              0     0.20021343              0     0.20849067              0
              1     0.33015612              0     0.32644646              0     0.33386578              0
            1.2     0.32136643              0     0.31799061              0     0.32474225              0
            1.4     0.26622699              0     0.26309823              0     0.26935575              0
            1.6     0.20815017              0     0.20521629              0     0.21108405              0
            1.8     0.14711142              0     0.14455143              0     0.14967141              0
              2     0.10414384              0     0.10193741              0     0.10635027              0
            2.2    0.068225417              0    0.066332093              0    0.070118741              0
            2.4    0.047770254              0    0.045979335              0    0.049561173              0
            2.6    0.030867842              0    0.029430523              0    0.032305161              0
            2.8    0.018546365              0      0.0174441              0     0.01964863              0
              3    0.011925047              0    0.011003953              0    0.012846141              0
            3.2   0.0064074404              0   0.0058046232              0   0.0070102576              0
            3.4   0.0044711187              0    0.004009586              0   0.0049326514              0
            3.6   0.0021799387              0   0.0018735249              0   0.0024863525              0
            3.8   0.0016914409              0   0.0014209106              0   0.0019619712              0
              4   0.0016914409              0   0.0014209106              0   0.0019619712              0
