#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.68336035              0      -0.689497              0     -0.6772237              0
            0.2    -0.73073937              0     -0.7366802              0    -0.72479854              0
            0.4    -0.79828768              0     -0.8037853              0    -0.79279006              0
            0.6    -0.90113362              0    -0.90641605              0    -0.89585119              0
            0.8      -1.053325              0     -1.0585771              0     -1.0480729              0
              1     -1.2410438              0     -1.2461939              0     -1.2358937              0
            1.2     -1.4757368              0     -1.4809199              0     -1.4705537              0
            1.4     -1.8036758              0     -1.8101626              0      -1.797189              0
            1.6      -2.234273              0     -2.2399089              0     -2.2286371              0
            1.8     -2.8356763              0     -2.8421382              0     -2.8292144              0
              2     -3.6613332              0     -3.6683373              0     -3.6543291              0
            2.2     -4.8103867              0     -4.8178484              0      -4.802925              0
            2.4     -6.4897327              0     -6.4983596              0     -6.4811058              0
            2.6     -9.0471945              0     -9.0573317              0     -9.0370573              0
            2.8     -13.474087              0      -13.48623              0     -13.461944              0
              3     -16.980945              0     -16.997577              0     -16.964313              0
            3.2     -16.980945              0     -16.997577              0     -16.964313              0
