#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       38.06785    0.081877332      33.290483    0.071690667      43.405202    0.093797704
            0.2       38.77085    0.082587072      33.922911      0.0723476      44.172923    0.094503418
            0.4      40.005716    0.083849324       35.02585    0.073499938      45.534475    0.095827162
            0.6      41.986724    0.085845596      36.797137    0.075319389      47.718985    0.097966425
            0.8       45.60848    0.089363149      40.015188    0.078509545      51.751041     0.10184977
              1      50.192563     0.09365703      44.082848    0.082353857      56.866006     0.10655874
            1.2      56.794033    0.099441882      49.934018    0.087545267      64.238491     0.11298342
            1.4      66.231891     0.10708975      58.300919    0.094410053      74.771579     0.12152495
            1.6      79.344619     0.11680315      69.905896     0.10302436      89.437675        0.13215
            1.8      98.375861     0.12939314      86.763838     0.11425119      110.68674     0.14616795
              2      125.20955     0.14495495      110.54537      0.1281678       140.6111      0.1635453
            2.2      164.51453     0.16443831      145.42296      0.1455492      184.34568       0.185136
            2.4      219.93802     0.18733281      194.65115     0.16761863      245.87486      0.2173693
            2.6      295.04975     0.21252477      261.40953     0.18873743      329.15939     0.23930993
            2.8      380.54413     0.23556381      337.55204     0.20922332      423.58992     0.26460595
              3      308.76636     0.21681154      274.11187     0.19264919      343.17844     0.24328444
            3.2      308.76636     0.21681154      274.11187     0.19264919      343.17844     0.24328444
