#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.11051163   0.0045725555    0.091658544   0.0037891122     0.13369565    0.005573273
           -3.8      0.1949202    0.006113199     0.16161744   0.0050578132     0.23598259   0.0075234366
           -3.6     0.36374395   0.0082323912     0.30333638   0.0068509857     0.43702803   0.0099804306
           -3.4     0.62254289    0.010839093     0.52119049   0.0090427078     0.74467382     0.01311587
           -3.2      1.0770194     0.01415728     0.90557261     0.01188114      1.2816588    0.017008087
             -3      1.8030162    0.018266435      1.5256963    0.015425491      2.1299977     0.02177411
           -2.8      2.9340373    0.023302826      2.4984526    0.019803139      3.4394881    0.027588539
           -2.6      4.7970674    0.029719741      4.1109658    0.025595423      5.5801543    0.035497153
           -2.4      7.5171987    0.037063122      6.4735276    0.031873186      8.6935609    0.043262194
           -2.2      11.687984    0.045981156       10.11666    0.039793437      13.435878    0.053270396
             -2        17.6116     0.05623895      15.325362    0.048924408      20.111548    0.064771811
           -1.8      26.181346    0.068180482      22.883692    0.059628826      29.735737    0.078019759
           -1.6      37.871958    0.081619486      33.247773    0.071735247      42.779303    0.092905318
           -1.4      54.239556    0.097182165      47.785645    0.088814058      60.988401     0.12241707
           -1.2      75.297376     0.11384273      66.487579     0.10103606      84.452692     0.12957232
             -1      101.15583     0.13105044      89.493115     0.11614161       113.1906      0.1475938
           -0.8      130.85591     0.14791458      115.90177     0.13115866      146.21009     0.16613287
           -0.6       161.1024     0.16282844      142.80019     0.14453934      179.83106      0.1828095
           -0.4      186.95443     0.17423085      165.79532     0.15469539      208.56233     0.19536596
           -0.2      201.80262     0.18032341      178.99543     0.16014972      225.07181     0.20221811
              0      201.65546     0.18027578      178.85035     0.16006993      224.93282     0.20211206
            0.2        187.095     0.17429404      165.90712     0.15474114       208.7428     0.19547371
            0.4      161.26738     0.16289984      142.95466     0.14457728      180.00323     0.18277568
            0.6      130.81269     0.14787953      115.87125     0.13113833      146.15781     0.16603751
            0.8        101.422     0.13122024      89.710552     0.11621394        113.517     0.14769445
              1      75.318223     0.11385889      66.506253     0.10065345      84.478982     0.12842581
            1.2       54.21858    0.097189197      47.766451    0.085767766      60.978555     0.11025799
            1.4      38.077418    0.081838757      33.422526    0.071899782      43.023259    0.093068036
            1.6      26.197559    0.068222015      22.905097     0.05965949      29.742928    0.078091575
            1.8      17.678271    0.056297292       15.38832    0.049009481      20.180229    0.064799664
              2      11.656516    0.045904325      10.097232     0.03999166       13.38316    0.054124944
            2.2      7.6328727    0.037380259      6.5740172    0.032157236       8.826443     0.04372954
            2.4      4.8204839    0.029806062       4.129423     0.02558167      5.6100847    0.035357705
            2.6      3.0019523    0.023574219      2.5554502    0.020033749      3.5201776    0.028057718
            2.8      1.8046092    0.018326852        1.52903    0.015493173      2.1283902    0.021877054
              3      1.0688107    0.014132841     0.90003298    0.011884594      1.2697135    0.017000622
            3.2     0.64388649    0.010980648      0.5386084   0.0091706467     0.77128455    0.013275064
            3.4     0.34873952   0.0081464315      0.2904756    0.006759846      0.4196976   0.0099365863
            3.6     0.19417323   0.0060614024     0.16047999   0.0050008036     0.23589853   0.0074277216
            3.8      0.1040823   0.0044574442    0.086360139   0.0036825634      0.1257295   0.0054564389
              4      0.1040823   0.0044574442    0.086360139   0.0036825634      0.1257295   0.0054564389
