#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      100.12446     0.13066936      88.419289     0.11544666      112.14712     0.14737283
            0.2        99.2043     0.13004303      87.610177     0.11496029      111.12246     0.14668212
            0.4      98.204087     0.12935352      86.707306      0.1146238      110.04853     0.14682722
            0.6       97.22513     0.12870391      85.845382     0.11373483      108.97356     0.14507282
            0.8      97.367774      0.1287695      85.975051       0.113818      109.14204     0.14518507
              1      98.503302     0.12944776      86.981486      0.1144363      110.43651     0.14591486
            1.2      101.17754     0.13111788      89.344013     0.11593179      113.45251     0.14788494
            1.4      106.39337     0.13426661      93.948526     0.11867855      119.32349     0.15128995
            1.6      112.75226     0.13799684      99.591502     0.12201783      126.43971     0.15546596
            1.8      121.69672     0.14304668      107.52997     0.12654898      136.42316     0.16122364
              2      133.60789     0.14942565      118.09501     0.13223929      149.73877     0.16832941
            2.2      149.36104     0.15737839      132.07944     0.13937519      167.30936     0.17738309
            2.4      168.43467     0.16629075      149.03645      0.1474171      188.54113     0.18756096
            2.6      190.94495     0.17606276      169.00242      0.1560373      213.66171     0.19836803
            2.8      213.74444     0.18521193      189.29693     0.16590133       238.9536     0.21538586
              3      160.65898     0.16291425      142.26905     0.14440366      179.62884     0.18327231
            3.2      160.65898     0.16291425      142.26905     0.14440366      179.62884     0.18327231
