#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      -7.068979              0     -7.0821775              0     -7.0557805              0
            0.2     -4.9425055              0     -4.9498854              0     -4.9351256              0
            0.4     -4.0625542              0     -4.0689786              0     -4.0561298              0
            0.6     -3.5758552              0     -3.5819834              0      -3.569727              0
            0.8     -3.2760623              0     -3.2818713              0     -3.2702533              0
              1     -3.0991912              0     -3.1047348              0     -3.0936476              0
            1.2     -3.0499825              0      -3.055459              0      -3.044506              0
            1.4     -3.0617541              0     -3.0671889              0     -3.0563193              0
            1.6     -3.1667533              0     -3.1721841              0     -3.1613225              0
            1.8     -3.3376134              0     -3.3439534              0     -3.3312734              0
              2     -3.5595703              0     -3.5653739              0     -3.5537667              0
            2.2     -3.8447978              0     -3.8511115              0     -3.8384841              0
            2.4     -4.1256004              0     -4.1325959              0     -4.1186049              0
            2.6     -4.2929957              0     -4.3015153              0     -4.2844761              0
            2.8     -4.1410126              0     -4.1506876              0     -4.1313376              0
              3     -2.0398759              0     -2.0514972              0     -2.0282546              0
            3.2      1.2968281              0      1.2901395              0      1.3035167              0
            3.4     0.50778085              0     0.50311078              0     0.51245092              0
            3.6     0.20586075              0      0.2025672              0      0.2091543              0
            3.8    0.093114451              0    0.090685966              0    0.095542936              0
              4    0.047405758              0    0.045533273              0    0.049278243              0
            4.2    0.021632859              0      0.0204561              0    0.022809618              0
            4.4    0.011071549              0    0.010230174              0    0.011912924              0
            4.6   0.0067037346              0   0.0061391403              0   0.0072683289              0
            4.8    0.003816024              0    0.003446826              0    0.004185222              0
              5    0.003816024              0    0.003446826              0    0.004185222              0
