#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.75564796              0     -0.7614907              0    -0.74980522              0
            0.2    -0.78511882              0    -0.79070255              0    -0.77953509              0
            0.4    -0.84681951              0    -0.85217939              0    -0.84145963              0
            0.6    -0.92677206              0     -0.9319189              0    -0.92162522              0
            0.8     -1.0450306              0     -1.0501447              0     -1.0399165              0
              1     -1.1942893              0     -1.1993434              0     -1.1892352              0
            1.2     -1.3720028              0     -1.3772175              0     -1.3667881              0
            1.4     -1.6165951              0     -1.6228989              0     -1.6102913              0
            1.6     -1.9469227              0     -1.9528004              0      -1.941045              0
            1.8     -2.3886094              0     -2.3949302              0     -2.3822886              0
              2     -2.9990561              0     -3.0055166              0     -2.9925956              0
            2.2      -3.889854              0     -3.8971938              0     -3.8825142              0
            2.4     -5.2492989              0     -5.2575184              0     -5.2410794              0
            2.6     -7.4379096              0     -7.4478358              0     -7.4279834              0
            2.8     -11.467593              0     -11.479332              0     -11.455854              0
              3     -14.526349              0     -14.543291              0     -14.509407              0
            3.2     -14.526349              0     -14.543291              0     -14.509407              0
