#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      39.496055     0.22704484      39.496055     0.22704484      39.496055     0.22704484
            0.2      39.262749     0.16525627      39.262749     0.16525627      39.262749     0.16525627
            0.4      40.706357     0.18139487      40.706357     0.18139487      40.706357     0.18139487
            0.6      42.987196     0.18115457      42.987196     0.18115457      42.987196     0.18115457
            0.8      46.899136     0.21393536      46.899136     0.21393536      46.899136     0.21393536
              1      52.258675     0.24634792      52.258675     0.24634792      52.258675     0.24634792
            1.2      59.369301     0.22768803      59.369301     0.22768803      59.369301     0.22768803
            1.4      69.827928     0.22623787      69.827928     0.22623787      69.827928     0.22623787
            1.6      84.365842     0.24332641      84.365842     0.24332641      84.365842     0.24332641
            1.8      106.14058     0.25612914      106.14058     0.25612914      106.14058     0.25612914
              2      136.61464     0.30729548      136.61464     0.30729548      136.61464     0.30729548
            2.2      181.63391     0.36318936      181.63391     0.36318936      181.63391     0.36318936
            2.4      245.61876     0.38950848      245.61876     0.38950848      245.61876     0.38950848
            2.6      333.48844     0.48194975      333.48844     0.48194975      333.48844     0.48194975
            2.8      435.00647     0.53152034      435.00647     0.53152034      435.00647     0.53152034
              3      355.02342     0.50528742      355.02342     0.50528742      355.02342     0.50528742
            3.2      355.02342     0.50528742      355.02342     0.50528742      355.02342     0.50528742
