#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       111.3332     0.26569056       111.3332     0.26569056       111.3332     0.26569056
            0.2      109.02324     0.30584879      109.02324     0.30584879      109.02324     0.30584879
            0.4      108.74188     0.25939217      108.74188     0.25939217      108.74188     0.25939217
            0.6      107.90536     0.26875143      107.90536     0.26875143      107.90536     0.26875143
            0.8      108.13526     0.27897923      108.13526     0.27897923      108.13526     0.27897923
              1      109.47634     0.26745602      109.47634     0.26745602      109.47634     0.26745602
            1.2      112.93766     0.26328299      112.93766     0.26328299      112.93766     0.26328299
            1.4      118.11761     0.27396156      118.11761     0.27396156      118.11761     0.27396156
            1.6      125.42264     0.28835203      125.42264     0.28835203      125.42264     0.28835203
            1.8      135.45935     0.29579141      135.45935     0.29579141      135.45935     0.29579141
              2       149.3259     0.32075358       149.3259     0.32075358       149.3259     0.32075358
            2.2      166.16712     0.34189164      166.16712     0.34189164      166.16712     0.34189164
            2.4      187.16426     0.40064256      187.16426     0.40064256      187.16426     0.40064256
            2.6      210.62012     0.41256308      210.62012     0.41256308      210.62012     0.41256308
            2.8      234.10533     0.42766447      234.10533     0.42766447      234.10533     0.42766447
              3      174.76421     0.39806923      174.76421     0.39806923      174.76421     0.39806923
            3.2      174.76421     0.39806923      174.76421     0.39806923      174.76421     0.39806923
