#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.14442932    0.010870905     0.14442932    0.010870905     0.14442932    0.010870905
           -3.8     0.28287013    0.012377387     0.28287013    0.012377387     0.28287013    0.012377387
           -3.6     0.50430264    0.018667308     0.50430264    0.018667308     0.50430264    0.018667308
           -3.4      0.8451765    0.023294945      0.8451765    0.023294945      0.8451765    0.023294945
           -3.2      1.4746533     0.03151648      1.4746533     0.03151648      1.4746533     0.03151648
             -3      2.2953688    0.039141297      2.2953688    0.039141297      2.2953688    0.039141297
           -2.8      3.7745484    0.054941603      3.7745484    0.054941603      3.7745484    0.054941603
           -2.6      5.9056194    0.067267316      5.9056194    0.067267316      5.9056194    0.067267316
           -2.4      9.1252451    0.074833709      9.1252451    0.074833709      9.1252451    0.074833709
           -2.2       13.63235    0.098071334       13.63235    0.098071334       13.63235    0.098071334
             -2      20.466773      0.1267105      20.466773      0.1267105      20.466773      0.1267105
           -1.8      30.061927     0.14257901      30.061927     0.14257901      30.061927     0.14257901
           -1.6      42.923596     0.16921663      42.923596     0.16921663      42.923596     0.16921663
           -1.4      60.241331     0.20236886      60.241331     0.20236886      60.241331     0.20236886
           -1.2      82.801694     0.25627534      82.801694     0.25627534      82.801694     0.25627534
             -1      111.44421     0.27029127      111.44421     0.27029127      111.44421     0.27029127
           -0.8      143.79984     0.30643609      143.79984     0.30643609      143.79984     0.30643609
           -0.6      177.37409     0.34663462      177.37409     0.34663462      177.37409     0.34663462
           -0.4      205.17572     0.37851775      205.17572     0.37851775      205.17572     0.37851775
           -0.2      222.21754      0.3945959      222.21754      0.3945959      222.21754      0.3945959
              0      221.77293     0.39394426      221.77293     0.39394426      221.77293     0.39394426
            0.2      205.04672     0.40242538      205.04672     0.40242538      205.04672     0.40242538
            0.4      176.86064     0.38165138      176.86064     0.38165138      176.86064     0.38165138
            0.6      144.27791     0.31728688      144.27791     0.31728688      144.27791     0.31728688
            0.8      111.54309     0.28521206      111.54309     0.28521206      111.54309     0.28521206
              1      83.379657     0.24883024      83.379657     0.24883024      83.379657     0.24883024
            1.2      60.076599     0.22027034      60.076599     0.22027034      60.076599     0.22027034
            1.4      42.540563      0.1705203      42.540563      0.1705203      42.540563      0.1705203
            1.6      29.735904      0.1382616      29.735904      0.1382616      29.735904      0.1382616
            1.8       20.55533     0.14288795       20.55533     0.14288795       20.55533     0.14288795
              2      13.994896     0.18970526      13.994896     0.18970526      13.994896     0.18970526
            2.2      9.0668167    0.077729411      9.0668167    0.077729411      9.0668167    0.077729411
            2.4      5.8453826    0.067461296      5.8453826    0.067461296      5.8453826    0.067461296
            2.6      3.7456501    0.051224328      3.7456501    0.051224328      3.7456501    0.051224328
            2.8      2.2719551    0.037070862      2.2719551    0.037070862      2.2719551    0.037070862
              3      1.3977163    0.029141581      1.3977163    0.029141581      1.3977163    0.029141581
            3.2     0.84159948    0.022404958     0.84159948    0.022404958     0.84159948    0.022404958
            3.4     0.48644124    0.016737126     0.48644124    0.016737126     0.48644124    0.016737126
            3.6     0.28436341     0.01299879     0.28436341     0.01299879     0.28436341     0.01299879
            3.8     0.14455836    0.010273399     0.14455836    0.010273399     0.14455836    0.010273399
              4     0.14455836    0.010273399     0.14455836    0.010273399     0.14455836    0.010273399
