# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.970146    0.020506716      9.9600513    0.014696416      20.150446     0.02945465
            0.2      13.780024    0.020222613      9.8250786    0.014490791       19.87505    0.029052286
            0.4      13.500895    0.019950994       9.626291    0.014298158      19.470995    0.028653479
            0.6      13.265952    0.019657132      9.4606108    0.014097934      19.127669    0.028208866
            0.8      13.143992    0.019525935      9.3748136    0.014011246      18.948508    0.028004294
              1      13.255571    0.019548686      9.4549934    0.014038481      19.107503    0.028012496
            1.2      13.512032    0.019950676       9.637735    0.014335913       19.47696     0.02856777
            1.4       14.04496     0.01995971       10.01788    0.014344631      20.244125    0.028576437
            1.6      14.823042    0.020669829      10.572004    0.014868858      21.366632    0.029565609
            1.8      15.980645    0.021447536      11.395437    0.015437599      23.039106    0.030657796
              2      17.546589    0.022366258      12.507713    0.016101664      25.305009    0.031965605
            2.2      19.574893    0.024333526      13.949362     0.01755568      28.237593    0.034702154
            2.4      22.268539     0.02666756      15.858888    0.019352665      32.143719    0.037823571
            2.6      25.757341    0.028303605      18.332711    0.020431465      37.201985    0.040349581
            2.8      29.682642    0.031110417      21.110611    0.022479906      42.905388    0.044309261
              3      22.933717    0.028157205      16.296967    0.020349908      33.179262    0.040097323
            3.2      22.933717    0.028157205      16.296967    0.020349908      33.179262    0.040097323
