# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.837581    0.058610373      12.449129    0.052846895      14.921957    0.065252567
            0.2      39.622738    0.098528489      35.583801    0.088471763      42.863447     0.10917289
            0.4      60.907479     0.12141061      54.691269     0.10908885      65.936148     0.13432979
            0.6      77.368128     0.13626629      69.421206     0.12243814      83.885998     0.15105698
            0.8      90.317372     0.14668047      80.977538     0.13177792       98.08898     0.16273718
              1      100.28292     0.15418723      89.884768     0.13844129      109.01197     0.17054842
            1.2      109.66525     0.16083953      98.251348     0.14436993      119.34142     0.17810318
            1.4      117.54703     0.16620059      105.26929     0.14904926      128.04036     0.18359247
            1.6      126.37454     0.17198902      113.15487     0.15422837      137.73682     0.19013178
            1.8      136.95312     0.17859921      122.63214     0.16026436      149.29743     0.19787588
              2      148.85303      0.1856877      133.29585      0.1666196      162.30865     0.20559411
            2.2      164.25306     0.19440857      147.12324     0.17456378      179.08204     0.21544864
            2.4      183.33493     0.20448829      164.28421     0.18458829      199.78113     0.23088702
            2.6      206.28102     0.21580154       184.9438     0.19396248      224.66607     0.23893655
            2.8      231.68197      0.2274221      207.84451      0.2045596      252.08203     0.25197154
              3      234.54578     0.22882015      210.36123     0.20574969      255.20809      0.2542637
            3.2      116.40406     0.16583911      103.73054     0.14792351      127.67457     0.18545526
            3.4      66.575792     0.12712331      58.978016     0.11265797      73.566977     0.14338861
            3.6      42.455185     0.10224325       37.40212    0.090179193       47.25068     0.11644388
            3.8      27.837053    0.083317387      24.430613    0.073048949      31.121449    0.095316823
              4      18.880396    0.068756496      16.498675    0.059994793       21.23011    0.078859582
            4.2      12.947217    0.057182726      11.279632    0.049725034       14.61207    0.065825451
            4.4       8.766851    0.047092845      7.6059919    0.040797125      9.9491561    0.054434232
            4.6      6.1899424     0.03974077      5.3685585    0.034378576      7.0262072    0.046133612
            4.8      4.2906239    0.033151014      3.7085872    0.028609647      4.8909488    0.038689006
              5      4.2906239    0.033151014      3.7085872    0.028609647      4.8909488    0.038689006
