# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      4.2109293    0.032208302      3.7221512    0.028501639      4.6796536    0.036158827
            0.2      12.286394    0.054906378      10.867362    0.048655794      13.641692    0.061519173
            0.4      19.668245    0.069383959      17.397182     0.06149109      21.830415    0.077916719
            0.6       25.81495    0.079386953       22.80689    0.070265671      28.693372    0.089176986
            0.8      31.441302    0.087535453      27.785147    0.077735257      34.924832    0.099120284
              1      36.734251    0.094507672      32.466066    0.085651337      40.774801     0.11525865
            1.2      41.997878     0.10094699      37.095061    0.089317172       46.65531     0.11350933
            1.4      47.636243     0.10738145      42.096223    0.095065973      52.865781     0.12063652
            1.6      54.714705     0.11494594      48.360079     0.10182346      60.694013      0.1294279
            1.8      63.407468     0.12349878      56.047001     0.10930047      70.317495     0.13847259
              2      75.590032     0.13453784      66.874432     0.11933894      83.706288     0.15151252
            2.2      93.514348      0.1490315      82.807353     0.13227554       103.4133     0.16741453
            2.4       122.1235     0.16926922      108.30862      0.1504071      134.75322     0.18962602
            2.6      173.65473     0.19955621      154.32491     0.17779342      191.08125     0.22344363
            2.8      280.27148     0.24732116      250.04987     0.22099426      306.84768     0.27502674
              3      515.11716     0.31606323      464.85019     0.28593089      555.94712     0.34864628
            3.2      292.08018     0.25209392      264.01181     0.22831304       314.4505     0.27727534
            3.4      163.05845     0.19432208      146.99667     0.17537302       176.0212     0.21424183
            3.6      98.776237     0.15360871      88.776488     0.13813189      106.98585     0.17032148
            3.8      62.965111     0.12370623      56.423363     0.11085515      68.417536     0.13763508
              4      41.595789     0.10110087      37.185256     0.09038016      45.321654     0.11285401
            4.2      28.304443    0.083629006       25.25264     0.07465823      30.904479    0.093876036
            4.4      19.668804    0.069869727      17.523295    0.062480917      21.506214    0.079401712
            4.6      13.902245    0.058835794      12.362562    0.052284092      15.237814    0.066144564
            4.8      10.035306     0.05001521      8.9087822    0.044372869      11.020489    0.056192624
              5      10.035306     0.05001521      8.9087822    0.044372869      11.020489    0.056192624
