# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       117.6495     0.16661088       105.2708     0.14948058      128.07681     0.18609759
            0.2      116.06949     0.16552033      103.81945     0.14825963      126.43822     0.18424864
            0.4      114.54383     0.16438192      102.42828     0.14722988      124.85837     0.18267794
            0.6      113.72925     0.16377471      101.68343     0.14779822       124.0234     0.18753522
            0.8      113.36133     0.16349571      101.34011     0.14657925      123.70694     0.18212191
              1      114.88446     0.16452761      102.67342      0.1472366      125.45304     0.18258667
            1.2      118.00763     0.16658912      105.44584     0.14920277      128.92729     0.18541552
            1.4        123.086     0.16993332      109.93975     0.15208951      134.60184     0.18882693
            1.6      130.44803     0.17466185      116.58313     0.15636673      142.56834     0.19384017
            1.8      140.20551      0.1807163      125.30422     0.16176661      153.27648     0.20042038
              2      153.72304     0.18867049        137.443     0.16900376       167.9961     0.20954266
            2.2      170.59868     0.19806409      152.55985     0.17742619      186.41755      0.2199874
            2.4      191.76401     0.20904342      171.57284     0.18741534       209.4191      0.2323427
            2.6      216.47048     0.22091608      193.85089     0.19818579       236.0767     0.24528306
            2.8      240.88637     0.23188034      215.80088     0.20804724      262.50615     0.25771804
              3      180.75863     0.20372688      162.05412     0.18286367      196.73826     0.22619701
            3.2      180.75863     0.20372688      162.05412     0.18286367      196.73826     0.22619701
