#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      15.661852    0.071540076      14.089764    0.062964257      16.936332    0.081889451
            0.2      44.553923     0.12011974      40.135113     0.11159509      48.101136     0.15105687
            0.4      68.526131     0.14808175      61.618434     0.13058639      74.221404     0.17060967
            0.6      87.033747     0.16628759      78.205696     0.14651029      94.403066     0.19126036
            0.8      100.73533     0.17846396      90.509009     0.15714636      109.34025     0.20472924
              1      112.38228     0.18796071      100.91295     0.16586442      122.13944     0.21706333
            1.2      121.76239     0.19543092      109.31657      0.1719299      132.40404     0.22432657
            1.4      130.49983     0.20227443      117.17456     0.18000333      141.93046     0.23833782
            1.6      139.92495     0.21014969      125.63271     0.18511006      152.22851     0.24352693
            1.8      150.91771     0.21725999      135.42807     0.19105352      164.37468     0.24994441
              2       164.3312     0.22648494      147.54274     0.19908408      178.88403     0.26065804
            2.2      181.24315     0.23755456      162.76386      0.2088821      197.28019     0.27402974
            2.4      202.33538     0.25083392      181.75746     0.22038394      220.18298     0.28946863
            2.6      227.53252     0.26520782      204.49503     0.23305354      247.43952      0.3066133
            2.8      256.38495     0.28115896      230.66018     0.24759283      278.37365     0.32747357
              3      260.25667     0.28383522      234.06522     0.24900992      282.63474      0.3291098
            3.2      128.70639     0.20406665      115.01397     0.17789015      140.89929     0.23771192
            3.4      73.731836     0.15594065      65.507493     0.13535903      81.298073     0.18314543
            3.6      46.870605     0.12493813      41.438514     0.10787335      51.996189     0.14714079
            3.8      30.711738     0.10155215      27.028004    0.087301969      34.274702     0.12021681
              4      20.624076    0.083423225      18.082383    0.071519115       23.12596    0.099192935
            4.2      14.062948     0.06922133      12.278008    0.059005857      15.856794    0.082734089
            4.4      9.8316531    0.057759922       8.550148    0.049093179      11.144578    0.069020732
            4.6      6.7602828    0.047999472      5.8641614    0.040728421      7.6866497    0.057681704
            4.8      4.8131461    0.040481745      4.1645377    0.034267328       5.491817    0.048598665
              5      4.8131461    0.040481745      4.1645377    0.034267328       5.491817    0.048598665
