# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      8.7605671     0.05152827      7.7731533    0.045299655       9.709792    0.058698885
            0.2      24.997515    0.086753447      22.169218    0.076305761        27.7203    0.098773591
            0.4      37.814004     0.10657834      33.524697    0.093818999       41.92818     0.12196247
            0.6      47.042308     0.11865092       41.66606     0.10420914      52.208557      0.1356288
            0.8      53.296322     0.12623041      47.166727     0.11073485      59.186369     0.14412945
              1      57.460651     0.13125869      50.839644     0.11516122      63.797285     0.15073292
            1.2      61.305946      0.1355517      54.187812     0.11889385      68.142682     0.15583873
            1.4      66.061923     0.14062239      58.400349     0.12314052      73.397346     0.16105459
            1.6      72.808508     0.14760908      64.386614     0.12948302      80.835482     0.16973582
            1.8       83.34358     0.15781474      73.792705     0.13851756      92.370737     0.18129076
              2      99.649869     0.17244879       88.29256      0.1511461      110.32539     0.19762019
            2.2      125.54498       0.193349      111.38272     0.16961484      138.73004     0.22206555
            2.4      170.64522     0.22450211      151.71555     0.19717867      187.99979     0.25773679
            2.6      253.84771     0.27211031      226.19181     0.23910017      278.83814     0.31377086
            2.8      436.26267     0.35087037      390.59331     0.30856415      476.23633     0.40774308
              3      777.33509     0.46607767      706.11542     0.40916538      832.80438     0.55599118
            3.2      183.84821     0.25474372      167.18476     0.22183697      196.27528      0.2998237
            3.4      38.288173      0.1206426      34.659503     0.10407752      41.022621     0.14346086
            3.6      9.4725758    0.061492331      8.5632286    0.052622149      10.140449    0.074004601
            3.8      2.4580679    0.032264828      2.2319063    0.027448853      2.6083018    0.039351754
              4     0.67626295    0.017384225     0.61748426    0.014685095     0.71006362    0.021397442
            4.2     0.18142928   0.0091732913     0.16544263   0.0077212674     0.19056093    0.011503167
            4.4    0.056613846   0.0050607254    0.052212749   0.0042644192    0.058404273   0.0054015773
            4.6    0.016392703   0.0026511892    0.014796962    0.002234544    0.017472358   0.0032922818
            4.8   0.0056526563   0.0016957168   0.0045544315   0.0019533579   0.0059060485   0.0015857096
              5   0.0056526563   0.0016957168   0.0045544315   0.0019533579   0.0059060485   0.0015857096
