# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      130.29576      0.2024696      116.84727     0.18295063      141.71587     0.24638887
            0.2      129.20019     0.20259057      115.79892     0.17809977      140.65567     0.23570893
            0.4      127.25345     0.20001998      114.03615     0.17575988      138.60746     0.23105896
            0.6      125.88122     0.19894095      112.74521     0.17456927      137.27523     0.22933596
            0.8      125.20289     0.19850238      112.14633     0.17415797      136.55476     0.22854507
              1      126.84472     0.19978041      113.62068     0.17530857      138.37602     0.23002876
            1.2      129.86105      0.2021825      116.32868     0.17752361      141.68481     0.23327462
            1.4      135.60078     0.20640801      121.41845      0.1816725      148.08949     0.23970698
            1.6      143.54582     0.21242938      128.60544     0.18654425      156.66345     0.24557418
            1.8      154.82322     0.22050791      138.71947     0.19347949      168.99825     0.25468193
              2      169.55549     0.23062228      152.04325     0.20248978      184.88775     0.26708807
            2.2      188.53438     0.24284445      169.06642     0.21364855       205.6267     0.28308745
            2.4      212.65389     0.25771477      190.75575     0.22591177      231.83105     0.29898572
            2.6      240.71846     0.27330646      216.10862     0.23946891      262.09874     0.31684967
            2.8      268.76111      0.2885609      241.50578     0.25277538      292.19497     0.33511251
              3      202.44922     0.25330598       181.9482     0.22199283      219.99951     0.29414759
            3.2      202.44922     0.25330598       181.9482     0.22199283      219.99951     0.29414759
