#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      36.056752    0.078187972      31.817296    0.069105736      40.595982    0.088442018
            0.2      36.971363    0.079160777       32.60091    0.069894397      41.666652    0.089628971
            0.4       38.34265    0.080682963      33.800919    0.071197777       43.22428     0.09138658
            0.6      40.393363    0.082858674       35.62033    0.073126389      45.511866    0.093820945
            0.8      44.034669    0.086534681      38.850044    0.076418907      49.576381    0.097954747
              1       48.64126    0.090990817      42.932316    0.080365074      54.726427     0.10292448
            1.2      55.221596    0.096906831      48.765891    0.085641281      62.073508     0.10955847
            1.4      64.614744     0.10470733      57.097158    0.092595507      72.549811     0.11836739
            1.6      77.714587     0.11460227      68.690785      0.1013497      87.201742     0.12921929
            1.8      96.728919     0.12742492      85.533314     0.11273811      108.43325     0.14358158
              2      123.61308      0.1432993      109.34907     0.12689573      138.43379     0.16136845
            2.2      163.05776     0.16317893      144.32569     0.14453823      182.37055     0.18358436
            2.4       218.8043     0.18663633      193.78787     0.16655425      244.35692     0.21846834
            2.6      294.49191     0.21232674      260.96538     0.18848728       328.4527     0.23928916
            2.8      380.70966     0.23589213      337.63592     0.20935654      423.89898     0.26530576
              3      309.19732     0.21730269      274.39999     0.19293241      343.83854     0.24413537
            3.2      309.19732     0.21730269      274.39999     0.19293241      343.83854     0.24413537
