# ptHiggs+top+t        central        num_err    min (scale)        num_err    max (scale)        num_err
# bar
            650    0.013027704  0.00021456381    0.011359012  0.00018722974    0.014827108  0.00024546312
            660    0.012030574  0.00020665286    0.010517825  0.00018054249    0.013641803  0.00023618062
            670    0.011097906  0.00019831893   0.0096708876  0.00017277381     0.01263605  0.00022716248
            680    0.010619679  0.00019407072   0.0092741486  0.00016931763    0.012061773    0.000222207
            690   0.0097805184  0.00018610432   0.0085426762  0.00016255349    0.011103378  0.00021303098
            700   0.0094174595  0.00018239839   0.0082278845  0.00015935908    0.010687211  0.00020853357
            710   0.0090206623  0.00017875849   0.0078956536  0.00015654445    0.010209473  0.00020343892
            720   0.0082256384   0.0001703922   0.0071857265  0.00014888198   0.0093327724  0.00019437551
            730   0.0075232598  0.00016312862   0.0065939624  0.00014287307   0.0084960344  0.00018697317
            740   0.0074478032  0.00016248102    0.006485913  0.00014153092   0.0084852255  0.00018608718
            750   0.0068187837  0.00015546293   0.0059489587  0.00013561722   0.0077513805  0.00017792287
            760   0.0063054448  0.00014924129   0.0054999377  0.00013021241   0.0071747929  0.00017058151
            770   0.0059589496   0.0001454023   0.0052186639   0.0001272594   0.0067390923  0.00016590484
            780   0.0057225124  0.00014225109   0.0049946258   0.0001242914   0.0065034264  0.00016240536
            790   0.0053631697  0.00013801123   0.0047107767  0.00012123958   0.0060388385  0.00016037273
            800   0.0049302133   0.0001317585   0.0043208234  0.00011554631   0.0055718446  0.00014961525
            810   0.0045950126   0.0001278194   0.0040193757  0.00011176352     0.00520625  0.00014568401
            820   0.0045161596  0.00012647924   0.0039434164  0.00011031112    0.005128353   0.0001451177
            830   0.0041582109  0.00012116556   0.0036213087  0.00010562469   0.0047389436  0.00013874372
            840    0.003803709  0.00011634764   0.0033311595  0.00010176434   0.0042988762  0.00013354953
            850   0.0036692446  0.00011384491   0.0031974383  9.9311174e-05   0.0041768107  0.00013009999
            860   0.0034290206  0.00011013054   0.0030019904  9.6445943e-05   0.0038800092  0.00012536646
            870   0.0033151137  0.00010859417   0.0028947782   9.472213e-05   0.0037652867  0.00012427937
            880   0.0030945518  0.00010461195   0.0026987924   9.131349e-05   0.0035200884  0.00011944616
            890    0.002789884  9.9132972e-05   0.0024513609  8.7323391e-05   0.0031429404  0.00011232363
            900   0.0027485938  9.8870273e-05   0.0024110306  8.6658089e-05   0.0031010335   0.0001126452
            910   0.0024022706  9.2225169e-05   0.0020978815  8.0492854e-05   0.0027287797  0.00010564375
            920   0.0022662283  9.0109504e-05   0.0019914432  7.9023164e-05   0.0025494341  0.00010257976
            930   0.0023478287  9.1096837e-05   0.0020466969  7.9495369e-05   0.0026746773  0.00010414777
            940   0.0021188437  8.6502819e-05   0.0018517321  7.5674789e-05   0.0024050863  9.8562223e-05
            950   0.0020052201  8.4313201e-05   0.0017522409  7.3504068e-05   0.0022736185  9.6631763e-05
            960   0.0018203964  8.0302125e-05   0.0015968136  7.0351669e-05   0.0020550348  9.1820542e-05
            970   0.0017159665  7.7886994e-05   0.0014969431  6.8005145e-05    0.001951443  8.8881216e-05
            980   0.0016305561   7.614159e-05   0.0014311547  6.6743731e-05   0.0018377998   8.789022e-05
            990    0.001745601  7.8622917e-05   0.0015293725  6.8808331e-05   0.0019751386  8.9911751e-05
           1000    0.001745601  7.8622917e-05   0.0015293725  6.8808331e-05   0.0019751386  8.9911751e-05
