#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       99.84203     0.13049842      88.180592     0.11520844      111.81611     0.14736474
            0.2      98.829779     0.12973771      87.306218     0.11461962       110.6584     0.14650775
            0.4      97.741188     0.12892292      86.341633     0.11420245      109.45497     0.14646383
            0.6      96.701091     0.12817471      85.438757     0.11326208      108.28704     0.14451931
            0.8      96.786277     0.12815551      85.530445     0.11329612       108.3671     0.14449211
              1      97.871657     0.12877192      86.503973     0.11387872      109.58403     0.14511813
            1.2      100.49458     0.13037804      88.833507     0.11534874      112.51938     0.14695503
            1.4      105.66166     0.13348708      93.406723     0.11808447      118.31367      0.1502641
            1.6      111.94946     0.13716287      99.002415     0.12140219      125.32123     0.15432518
            1.8      120.82841     0.14217152      106.89804     0.12592262      135.20321     0.15998955
              2      132.61822     0.14846841      117.37828     0.13156734      148.34136     0.16695035
            2.2      148.14492     0.15626435      131.19852      0.1386181      165.59238     0.17572069
            2.4       166.8027     0.16486962      147.84609     0.14639716      186.25259     0.18556593
            2.6      188.48668     0.17404867       167.1868     0.15458488      210.25761     0.19550778
            2.8      209.62044     0.18211939       186.2084     0.16308371      233.32468     0.21329476
              3      156.21483     0.15913409       138.9125     0.14141293      173.61761     0.17847778
            3.2      156.21483     0.15913409       138.9125     0.14141293      173.61761     0.17847778
