# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      6.7787919    0.034913428      5.9457638    0.030651242      7.6706997    0.039638229
            0.2      19.290135    0.058681199      16.902894     0.05145655       21.85545    0.066674865
            0.4      28.986825    0.071701952      25.386376    0.062859097      32.857228    0.081592777
            0.6      35.902036    0.079589873      31.432484     0.06971648      40.704242    0.090569659
            0.8      40.331401    0.084182656      35.297796    0.073715842       45.74106    0.095837047
              1      43.509116    0.087309321      38.063532    0.076479113      49.356924    0.099626394
            1.2      46.176991    0.089825055      40.395678    0.078617898      52.381261     0.10233723
            1.4      49.713897    0.093082597      43.493636    0.081485911       56.37695     0.10602424
            1.6      54.657791     0.09745022      47.841032    0.085333439       61.94621      0.1109535
            1.8      63.009201     0.10436156      55.203687    0.091894232      71.310908     0.11998305
              2      75.602884     0.11392358      66.285448    0.099997662      85.481045      0.1295204
            2.2      96.176268     0.12780483      84.403447     0.11222159      108.60374      0.1450387
            2.4      131.13175     0.14783997      115.24597     0.13005713      147.80111     0.16775932
            2.6      196.17171     0.17765158      172.77866     0.15657258      220.52308     0.20087629
            2.8      341.61152     0.22482455      302.03789     0.19897529       382.2437     0.25342816
              3      622.16034     0.27658394      556.63134       0.247696      686.56962     0.30836111
            3.2      141.19774     0.15183237      126.50933      0.1374973      155.49168     0.17999233
            3.4      27.555555    0.068797282      24.607172    0.061353156      30.466162    0.076918913
            3.6      6.4542078    0.033350792       5.759658    0.029716299      7.1398618    0.037544046
            3.8      1.6101702    0.016581575      1.4421058    0.014937051      1.7723731    0.019090131
              4     0.41593377   0.0083572437      0.3737322   0.0075026884     0.45554115   0.0092592561
            4.2     0.10600628   0.0041782233    0.095657983   0.0037704636     0.11544971   0.0045968321
            4.4    0.031314617   0.0022799258    0.028338026   0.0020565883    0.033869652   0.0024977509
            4.6   0.0088638609   0.0012078426   0.0080483782   0.0010976143   0.0095500204   0.0013136451
            4.8   0.0023425735  0.00061760044   0.0021888957  0.00057355312   0.0024177044   0.0006456916
              5   0.0023425735  0.00061760044   0.0021888957  0.00057355312   0.0024177044   0.0006456916
