#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0015446608  0.00063876346   0.0010463739   0.0011376312   0.0019982826  0.00068536847
           -3.8    0.014930661   0.0016418286     0.01284723   0.0014120644     0.01726911   0.0019141782
           -3.6    0.091361656   0.0040334886    0.078056212   0.0034415313     0.10671298   0.0047669047
           -3.4      0.3863338   0.0083030391     0.33096208   0.0071156406     0.44917105   0.0097419951
           -3.2      1.1586739    0.014384978      1.0025486     0.01243329      1.3301996     0.01669497
             -3      2.7995259    0.022413489      2.4376364    0.019484636      3.1888084    0.025870627
           -2.8      5.8096871     0.03224729      5.0827072    0.028402022      6.5812419    0.037239623
           -2.6      10.521034    0.043323126      9.2456599    0.038061779       11.85719    0.049274945
           -2.4      17.374055    0.055539149      15.327769    0.049167502      19.489733    0.063223076
           -2.2       26.44817     0.06832929        23.3771    0.060409699       29.60713    0.077167046
             -2      37.366496    0.080913612      33.075247     0.07162962      41.768802    0.091164266
           -1.8      49.909146    0.093138567      44.215448    0.083009321      55.734357     0.10622265
           -1.6      63.803942     0.10485128      56.551869    0.092989258      71.219434     0.11783989
           -1.4      78.285472     0.11565281      69.392735     0.10256651      87.380011      0.1299249
           -1.2      92.989168     0.12549679      82.406561     0.11127798      103.82109     0.14092982
             -1      106.51292     0.13379773      94.390323     0.11863663      118.91555      0.1503331
           -0.8      118.70073     0.14076683       105.1499     0.12476925      132.57849     0.15816989
           -0.6      127.96154     0.14579517      113.32814     0.12921878      142.94648     0.16388342
           -0.4      135.11073     0.14951086      119.63588     0.13249586      150.95936     0.16812293
           -0.2      138.46519       0.151208      122.58898     0.13398735      154.73256     0.17002797
              0      138.81938     0.15139149      122.90335     0.13411746      155.12664     0.17013312
            0.2      134.94414      0.1494488      119.48288     0.13249176      150.78587     0.16828056
            0.4      128.16128     0.14591178      113.49398       0.129337      143.19103     0.16408767
            0.6      118.68518     0.14079113      105.13397     0.12480249      132.56471     0.15821783
            0.8      106.59191     0.13389534      94.437901     0.11874029      119.03877     0.15064148
              1       92.79252     0.12541683      82.225469     0.11120826      103.61453     0.14092949
            1.2      78.470187     0.11582871      69.548011     0.10270031      87.602137      0.1301932
            1.4      63.938286     0.10502028      56.663947    0.093114323      71.386635     0.11813304
            1.6      50.145094    0.093396549      44.404298    0.082756346      56.038692     0.10508433
            1.8      37.384075    0.081177244      33.097291    0.074507569       41.76572     0.10993059
              2      26.385644    0.068299161      23.313384    0.060343656      29.553037    0.077212505
            2.2      17.488872    0.055815814      15.406689    0.049149501      19.659514    0.063288306
            2.4      10.649501    0.043671558      9.3483674    0.038317516      12.020031    0.049749171
            2.6      5.8573454    0.032443999      5.1259229    0.028366963      6.6325145    0.037351559
            2.8      2.8803113    0.022764002      2.5028388     0.01979049      3.2898339    0.026366426
              3      1.1851784    0.014627613       1.020969    0.012591448      1.3689176    0.017068479
            3.2     0.39435069   0.0084031061     0.33712054   0.0071971197     0.46019482   0.0098801307
            3.4    0.091748393   0.0041232672      0.0787377   0.0035146203     0.10653694   0.0048773221
            3.6    0.016943409   0.0017700704    0.014421822   0.0015275647    0.019897587   0.0020657763
            3.8   0.0011845391   0.0005143848   0.0010237391  0.00044582799   0.0013522261  0.00058454079
              4   0.0011845391   0.0005143848   0.0010237391  0.00044582799   0.0013522261  0.00058454079
