#    R_etattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2.8840281    0.022818115      2.5505445    0.020298384      3.2411926    0.025583733
            0.2      8.4891332    0.038524568      7.5146694    0.034265972      9.5283664     0.04322006
            0.4      14.013572    0.049176586      12.417486    0.043759358      15.704097    0.055151529
            0.6      19.526562    0.057891921      17.320999    0.051485704      21.846752    0.064885836
            0.8      25.033928    0.065431974      22.226099    0.058245931      27.971647    0.073345795
              1       31.01603    0.072727989      27.540127    0.064701988      34.643819    0.081451113
            1.2      37.803288    0.080199434      33.581517    0.071363457      42.190139    0.089794258
            1.4      46.139695     0.08848861      41.014898    0.078812827      51.432656     0.09910797
            1.6      56.772369    0.098008467       50.47548    0.087240815      63.250451     0.10957721
            1.8      71.172874     0.10948159      63.287156    0.097462046      79.249539     0.12236832
              2      91.120245     0.12343648      81.041551     0.10989026      101.37966       0.137866
            2.2      119.86529     0.14077368      106.67758     0.12549299      133.17485       0.157266
            2.4      161.65661     0.16206221      143.93577     0.14577364      179.37244      0.1906907
            2.6      221.12977     0.18681154      196.96428     0.16656205      245.08761     0.20826961
            2.8      298.81697     0.21290163       266.3088     0.18989694      330.71501     0.23721513
              3      344.91476     0.22613177      307.13948     0.20152862      381.96333     0.25262141
            3.2      175.22716     0.16957543      154.39854     0.14949696       196.8147     0.19227847
            3.4      101.06024     0.13168676      88.248946     0.11505064      114.88264     0.15143699
            3.6      64.020559     0.10604925      55.530095    0.092301739       73.42363     0.12383365
            3.8      42.426703    0.086957419      36.598012    0.074990214      49.009702     0.10142864
              4      28.664826    0.071810128      24.602336    0.061540545      33.330217     0.08417909
            4.2      19.763276    0.059812418      16.898478    0.051034345      23.091602    0.070505392
            4.4      13.708625    0.049977906      11.687686    0.042515192      16.076005    0.059406328
            4.6      9.6255753    0.041956878      8.1843293    0.035574008       11.32574    0.049919589
            4.8      6.8995947    0.035574766      5.8442068    0.030039898      8.1566043     0.04246161
              5      6.8995947    0.035574766      5.8442068    0.030039898      8.1566043     0.04246161
