# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   -0.049890159              0   -0.052470945              0   -0.047309373              0
            0.2      -0.181352              0    -0.18529537              0    -0.17740863              0
            0.4    -0.33287159              0    -0.33735925              0    -0.32838393              0
            0.6    -0.51717935              0    -0.52184881              0    -0.51250989              0
            0.8    -0.71380321              0    -0.71861571              0    -0.70899071              0
              1    -0.94825602              0    -0.95304501              0    -0.94346703              0
            1.2     -1.2217177              0     -1.2268616              0     -1.2165738              0
            1.4       -1.52388              0     -1.5301584              0     -1.5176016              0
            1.6     -1.9010257              0     -1.9066291              0     -1.8954223              0
            1.8     -2.3882913              0     -2.3942004              0     -2.3823822              0
              2     -3.0383089              0     -3.0453791              0     -3.0312387              0
            2.2      -3.926833              0     -3.9338753              0     -3.9197907              0
            2.4     -5.1695172              0     -5.1774304              0      -5.161604              0
            2.6     -6.9947504              0     -7.0038581              0     -6.9856427              0
            2.8     -9.9538775              0     -9.9648069              0     -9.9429481              0
              3     -14.540859              0     -14.553909              0     -14.527809              0
            3.2     -8.1900999              0     -8.2035033              0     -8.1766965              0
            3.4     -2.0303261              0     -2.0364687              0     -2.0241835              0
            3.6    -0.79842054              0    -0.80216432              0    -0.79467676              0
            3.8    -0.40274176              0    -0.40550987              0    -0.39997365              0
              4    -0.23095527              0    -0.23308459              0    -0.22882595              0
            4.2    -0.14315597              0    -0.14470733              0    -0.14160461              0
            4.4   -0.094816172              0   -0.096085381              0   -0.093546963              0
            4.6   -0.063128883              0   -0.064260039              0   -0.061997728              0
            4.8   -0.042151308              0   -0.043135053              0   -0.041167563              0
              5   -0.042151308              0   -0.043135053              0   -0.041167563              0
