#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0   -0.049173674              0   -0.051849868              0   -0.046497481              0
            0.2    -0.17721041              0    -0.18116676              0    -0.17325406              0
            0.4    -0.33383544              0    -0.33850224              0    -0.32916864              0
            0.6    -0.51060071              0    -0.51541067              0    -0.50579075              0
            0.8    -0.72625482              0    -0.73122322              0    -0.72128642              0
              1    -0.96007122              0    -0.96486918              0    -0.95527326              0
            1.2     -1.2225424              0     -1.2275696              0     -1.2175152              0
            1.4     -1.5377715              0     -1.5430462              0     -1.5324968              0
            1.6     -1.9024392              0     -1.9079129              0     -1.8969655              0
            1.8     -2.4007263              0     -2.4065396              0      -2.394913              0
              2     -3.0401961              0     -3.0474951              0     -3.0328971              0
            2.2     -3.9093462              0     -3.9162972              0     -3.9023952              0
            2.4     -5.1624409              0     -5.1707595              0     -5.1541223              0
            2.6     -6.9945556              0     -7.0038873              0     -6.9852239              0
            2.8     -9.9394655              0     -9.9503553              0     -9.9285757              0
              3     -14.521566              0     -14.534657              0     -14.508475              0
            3.2     -8.1916505              0      -8.204894              0      -8.178407              0
            3.4     -2.0430369              0     -2.0492747              0     -2.0367991              0
            3.6    -0.79732304              0    -0.80113982              0    -0.79350626              0
            3.8    -0.40566573              0    -0.40841353              0    -0.40291793              0
              4    -0.23021337              0    -0.23232377              0    -0.22810297              0
            4.2    -0.14201723              0    -0.14360183              0    -0.14043263              0
            4.4   -0.092494937              0   -0.093824329              0   -0.091165545              0
            4.6   -0.063525983              0   -0.064692462              0   -0.062359504              0
            4.8    -0.04396862              0   -0.044805662              0   -0.043131578              0
              5    -0.04396862              0   -0.044805662              0   -0.043131578              0
