# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    -0.73890808              0    -0.74493561              0    -0.73288055              0
            0.2    -0.78439138              0    -0.78993359              0    -0.77884917              0
            0.4     -0.8636206              0    -0.86917131              0    -0.85806989              0
            0.6    -0.95748244              0    -0.96256276              0    -0.95240212              0
            0.8     -1.0948328              0     -1.0997801              0     -1.0898855              0
              1     -1.2739881              0     -1.2791022              0      -1.268874              0
            1.2     -1.4923802              0     -1.4973803              0     -1.4873801              0
            1.4     -1.7934707              0     -1.7988259              0     -1.7881155              0
            1.6     -2.1968811              0     -2.2025268              0     -2.1912354              0
            1.8     -2.7387519              0     -2.7449062              0     -2.7325976              0
              2     -3.4914111              0     -3.4989785              0     -3.4838437              0
            2.2     -4.5341781              0     -4.5418109              0     -4.5265453              0
            2.4     -6.0884298              0     -6.0971905              0     -6.0796691              0
            2.6     -8.4585471              0     -8.4689146              0     -8.4481796              0
            2.8     -12.740514              0     -12.752632              0     -12.728396              0
              3     -16.253628              0     -16.270327              0     -16.236929              0
            3.2     -16.253628              0     -16.270327              0     -16.236929              0
