#     detattbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   -0.017004539              0   -0.017817017              0   -0.016192061              0
           -3.8   -0.023404079              0   -0.024393487              0   -0.022414671              0
           -3.6   -0.032454847              0   -0.033566946              0   -0.031342748              0
           -3.4   -0.045837101              0   -0.047026799              0   -0.044647403              0
           -3.2   -0.058765521              0   -0.060160994              0   -0.057370048              0
             -3   -0.080178626              0   -0.081823447              0   -0.078533805              0
           -2.8    -0.11392464              0    -0.11580975              0    -0.11203953              0
           -2.6    -0.16130313              0    -0.16344928              0    -0.15915698              0
           -2.4    -0.22153613              0    -0.22399027              0    -0.21908199              0
           -2.2    -0.30329464              0    -0.30621444              0    -0.30037484              0
             -2    -0.44176499              0    -0.44502551              0    -0.43850447              0
           -1.8    -0.61078576              0    -0.61491553              0    -0.60665599              0
           -1.6    -0.88953275              0    -0.89376037              0    -0.88530513              0
           -1.4     -1.2606602              0     -1.2656494              0      -1.255671              0
           -1.2      -1.800331              0     -1.8057851              0     -1.7948769              0
             -1     -2.5528003              0     -2.5592899              0     -2.5463107              0
           -0.8     -3.5507585              0     -3.5580118              0     -3.5435052              0
           -0.6     -4.8410048              0     -4.8487108              0     -4.8332988              0
           -0.4     -6.4349046              0     -6.4437148              0     -6.4260944              0
           -0.2     -9.2644324              0     -9.2764579              0     -9.2524069              0
              0     -9.2612817              0     -9.2740763              0     -9.2484871              0
            0.2     -6.4507602              0     -6.4597351              0     -6.4417853              0
            0.4     -4.8350691              0     -4.8429244              0     -4.8272138              0
            0.6     -3.5461841              0     -3.5532682              0        -3.5391              0
            0.8     -2.5488928              0     -2.5552395              0     -2.5425461              0
              1     -1.8005188              0     -1.8059163              0     -1.7951213              0
            1.2     -1.2644729              0     -1.2692954              0     -1.2596504              0
            1.4    -0.88300581              0     -0.8873264              0    -0.87868522              0
            1.6    -0.61799632              0    -0.62187697              0    -0.61411567              0
            1.8    -0.43723429              0    -0.44050026              0    -0.43396832              0
              2    -0.30763588              0    -0.31057169              0    -0.30470007              0
            2.2    -0.21302726              0    -0.21555664              0    -0.21049788              0
            2.4    -0.15929752              0    -0.16151864              0     -0.1570764              0
            2.6    -0.11498008              0    -0.11685434              0    -0.11310582              0
            2.8   -0.081653911              0   -0.083358812              0    -0.07994901              0
              3   -0.058789892              0   -0.060272815              0   -0.057306969              0
            3.2   -0.043430539              0   -0.044691988              0    -0.04216909              0
            3.4   -0.032049441              0   -0.033185699              0   -0.030913183              0
            3.6   -0.023990156              0   -0.024895498              0   -0.023084814              0
            3.8    -0.01657179              0   -0.017402694              0   -0.015740886              0
              4    -0.01657179              0   -0.017402694              0   -0.015740886              0
