#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0020276276              0   0.0017792694              0   0.0022759858              0
           -3.8   0.0029756736              0   0.0026114328              0   0.0033399144              0
           -3.6   0.0047282758              0   0.0042500954              0   0.0052064562              0
           -3.4   0.0074377246              0   0.0068180274              0   0.0080574218              0
           -3.2    0.011143786              0    0.010410608              0    0.011876964              0
             -3    0.019891971              0    0.018802848              0    0.020981094              0
           -2.8    0.030333508              0    0.028993512              0    0.031673504              0
           -2.6    0.044440125              0    0.042923054              0    0.045957196              0
           -2.4    0.069191236              0    0.067404664              0    0.070977808              0
           -2.2     0.10058673              0    0.098524173              0     0.10264929              0
             -2     0.15003424              0     0.14756494              0     0.15250354              0
           -1.8     0.20728086              0     0.20457434              0     0.20998738              0
           -1.6     0.27258825              0     0.26966968              0     0.27550682              0
           -1.4     0.33433578              0     0.33101449              0     0.33765707              0
           -1.2     0.34161333              0     0.33787463              0     0.34535203              0
             -1     0.23019348              0     0.22608371              0     0.23430325              0
           -0.8    -0.19416614              0    -0.19872496              0    -0.18960732              0
           -0.6     -1.4045906              0     -1.4099951              0     -1.3991861              0
           -0.4     -4.8982578              0      -4.905301              0     -4.8912146              0
           -0.2     -28.068644              0     -28.085887              0     -28.051401              0
              0     -28.088517              0      -28.10593              0     -28.071104              0
            0.2     -4.9053983              0     -4.9124336              0      -4.898363              0
            0.4     -1.4022462              0     -1.4077206              0     -1.3967718              0
            0.6     -0.2008848              0    -0.20541189              0    -0.19635771              0
            0.8     0.22676772              0     0.22273128              0     0.23080416              0
              1     0.34558519              0     0.34197693              0     0.34919345              0
            1.2     0.32879594              0     0.32557828              0      0.3320136              0
            1.4     0.26898219              0     0.26597105              0     0.27199333              0
            1.6      0.2073097              0     0.20457284              0     0.21004656              0
            1.8     0.14584128              0     0.14343693              0     0.14824563              0
              2     0.10462218              0     0.10247764              0     0.10676672              0
            2.2    0.069838168              0    0.068036175              0    0.071640161              0
            2.4    0.046992137              0    0.045357087              0    0.048627187              0
            2.6    0.032060951              0    0.030664485              0    0.033457417              0
            2.8    0.018932209              0    0.017895879              0    0.019968539              0
              3    0.012475271              0    0.011597965              0    0.013352577              0
            3.2   0.0078774488              0   0.0072049698              0   0.0085499278              0
            3.4   0.0054018077              0   0.0049086502              0   0.0058949652              0
            3.6   0.0032485984              0   0.0028955076              0   0.0036016892              0
            3.8   0.0021298197              0   0.0018773721              0   0.0023822673              0
              4   0.0021298197              0   0.0018773721              0   0.0023822673              0
