#     dphittbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     -9.9020657              0     -9.9161968              0     -9.8879346              0
            0.2     -5.8277221              0     -5.8350664              0     -5.8203778              0
            0.4     -4.5403176              0     -4.5467353              0     -4.5338999              0
            0.6     -3.8650438              0     -3.8711634              0     -3.8589242              0
            0.8     -3.4670088              0     -3.4727166              0      -3.461301              0
              1     -3.2521316              0     -3.2577931              0     -3.2464701              0
            1.2     -3.1551818              0     -3.1606346              0      -3.149729              0
            1.4     -3.1523486              0     -3.1575844              0     -3.1471128              0
            1.6      -3.252682              0     -3.2588805              0     -3.2464835              0
            1.8     -3.3869169              0     -3.3925978              0      -3.381236              0
              2     -3.6249032              0     -3.6308513              0     -3.6189551              0
            2.2     -3.8926771              0      -3.899161              0     -3.8861932              0
            2.4      -4.124729              0     -4.1321035              0     -4.1173545              0
            2.6     -4.1928109              0     -4.2021575              0     -4.1834643              0
            2.8      -3.784076              0      -3.795625              0      -3.772527              0
              3     -2.0808011              0     -2.0936066              0     -2.0679956              0
            3.2     -2.0808011              0     -2.0936066              0     -2.0679956              0
