#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      -1.673467              0     -1.6772906              0     -1.6696434              0
           -3.8     -1.7046935              0     -1.7086326              0     -1.7007544              0
           -3.6     -1.6993532              0     -1.7034402              0     -1.6952662              0
           -3.4     -1.6497393              0     -1.6540278              0     -1.6454508              0
           -3.2     -1.5868656              0     -1.5910481              0     -1.5826831              0
             -3     -1.4868539              0     -1.4910267              0     -1.4826811              0
           -2.8     -1.3792152              0      -1.383475              0     -1.3749554              0
           -2.6     -1.2531489              0     -1.2575191              0     -1.2487787              0
           -2.4     -1.1468263              0     -1.1511655              0     -1.1424871              0
           -2.2     -1.0308154              0     -1.0351555              0     -1.0264753              0
             -2    -0.92231328              0    -0.92653349              0    -0.91809307              0
           -1.8    -0.80749758              0    -0.81167254              0    -0.80332262              0
           -1.6    -0.70098096              0    -0.70506059              0    -0.69690133              0
           -1.4    -0.61040236              0    -0.61436068              0    -0.60644404              0
           -1.2     -0.5309551              0    -0.53470508              0    -0.52720512              0
             -1     -0.4573583              0    -0.46110891              0    -0.45360769              0
           -0.8    -0.39584448              0    -0.39945301              0    -0.39223595              0
           -0.6    -0.35912768              0    -0.36258614              0    -0.35566922              0
           -0.4    -0.32587435              0    -0.32958148              0    -0.32216722              0
           -0.2    -0.30884319              0    -0.31236043              0    -0.30532595              0
              0    -0.31493669              0    -0.31875819              0    -0.31111519              0
            0.2    -0.33032205              0    -0.33379599              0    -0.32684811              0
            0.4    -0.35135198              0    -0.35495134              0    -0.34775262              0
            0.6    -0.40165167              0    -0.40524492              0    -0.39805842              0
            0.8    -0.45222091              0    -0.45601988              0    -0.44842194              0
              1    -0.52658555              0    -0.53042614              0    -0.52274496              0
            1.2    -0.60818515              0      -0.612161              0     -0.6042093              0
            1.4    -0.69894144              0    -0.70307378              0     -0.6948091              0
            1.6     -0.8098806              0    -0.81406148              0    -0.80569972              0
            1.8    -0.92352047              0    -0.92776298              0    -0.91927796              0
              2     -1.0355449              0     -1.0404207              0     -1.0306691              0
            2.2     -1.1523347              0     -1.1571362              0     -1.1475332              0
            2.4     -1.2628974              0     -1.2672956              0     -1.2584992              0
            2.6     -1.3781503              0     -1.3825137              0     -1.3737869              0
            2.8     -1.4888468              0     -1.4932069              0     -1.4844867              0
              3     -1.5832223              0      -1.587455              0     -1.5789896              0
            3.2     -1.6621518              0     -1.6665497              0     -1.6577539              0
            3.4     -1.7081966              0     -1.7123225              0     -1.7040707              0
            3.6     -1.7095937              0     -1.7135748              0     -1.7056126              0
            3.8     -1.6705408              0     -1.6743322              0     -1.6667494              0
              4     -1.6705408              0     -1.6743322              0     -1.6667494              0
