#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.810674    0.053442593       12.42617    0.048253909      14.891832    0.059789188
            0.2      39.206548    0.089464829      35.225078    0.080419894       42.38766    0.099003507
            0.4       60.38693     0.11038266        54.2124     0.09917677      65.397778     0.12195072
            0.6      76.930395     0.12409079      69.051043     0.11164531      83.376844     0.13803279
            0.8      89.782251     0.13355498      80.507751     0.11990288      97.495181      0.1474133
              1      100.05745     0.14063983      89.709526     0.12640125      108.72733     0.15582382
            1.2      109.16873     0.14657713      97.826767     0.13192989      118.76435     0.16344907
            1.4      117.23109     0.15159179      105.02648     0.13681496      127.62148     0.17000857
            1.6      126.33241     0.15703834      113.15124     0.14100598      137.62809     0.17406729
            1.8      136.26308     0.16271672      122.03772     0.14649338      148.50597     0.18197146
              2      148.66219     0.16948394      133.13419     0.15211103      162.08409     0.18773676
            2.2      163.88019     0.17735175      146.78646     0.15915895      178.68651     0.19621289
            2.4      183.11006     0.18667925      164.07316     0.16792797      199.58278     0.20763436
            2.6      206.74198     0.19733453       185.3347     0.17738288      225.20718     0.21896355
            2.8      233.30583     0.20843076      209.22478     0.18730389       253.9882     0.23101427
              3      236.24918     0.20971133      211.81696     0.18841731        257.193     0.23285867
            3.2      117.38845     0.15208035      104.57455      0.1356063      128.82751      0.1700719
            3.4      66.791691     0.11624709      59.215899     0.11637828      73.692268     0.17841308
            3.6      42.230442    0.093170805      37.201257    0.082058382      47.000177      0.1059962
            3.8      27.952455    0.076206158      24.499937    0.066741865      31.312217    0.087265608
              4      18.742736    0.062589155      16.375156    0.054667461      21.078329    0.071990285
            4.2       12.91771    0.052183982      11.243191    0.045410805      14.597796    0.060487022
            4.4      8.7911515    0.043138915      7.6277367    0.037354687      9.9742878    0.050006197
            4.6      6.2109482     0.03631196      5.3792507    0.031414407      7.0643562    0.042152629
            4.8      4.2499005    0.030052002      3.6698563    0.025895697      4.8526708     0.03510109
              5      4.2499005    0.030052002      3.6698563    0.025895697      4.8526708     0.03510109
