# R_yttbarHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      7.7162461    0.039799218      6.8437104    0.036667569      8.5359214    0.049216485
            0.2      22.062205    0.067090873      19.534547    0.059530001      24.464614    0.075292096
            0.4      33.557695    0.082554774      29.697272    0.073208579      37.223546    0.092740362
            0.6      41.419509    0.091574404      36.614196    0.081067357      45.993341     0.10280299
            0.8      46.891071    0.097345143      41.435771     0.08623572      52.071063     0.10974802
              1      50.761222     0.10120607      44.817568    0.089477419      56.407112     0.11378346
            1.2      54.077835     0.10443156      47.750492    0.092910004      60.060458     0.11938049
            1.4      58.193585     0.10825848      51.364467    0.095674592      64.649332     0.12198144
            1.6      64.204054      0.1135623      56.702541     0.10048523      71.252604     0.12800936
            1.8      73.562794     0.12132466      65.035262     0.10759504      81.508291     0.13704304
              2      88.529905     0.13266634      78.329242     0.11753682      97.988546     0.14889881
            2.2      112.12079     0.14853051      99.334488     0.13176486      123.86099     0.16639695
            2.4      152.43413     0.17165816      135.25814     0.15262477      168.04134     0.19255795
            2.6      227.85554      0.2063264      202.64185     0.18371851      250.41497     0.23032814
            2.8      395.43751     0.26102586      353.22279     0.23370611      432.17322     0.29134429
              3      714.58182     0.32161825      646.50066     0.29686554      768.61948     0.37621091
            3.2      167.23286     0.17970026      151.51977      0.1635743      179.13441       0.199303
            3.4      34.317017    0.084066598      30.987982    0.075997467      36.809926    0.093117826
            3.6      8.3190994    0.041709716      7.5056971    0.037607238      8.9090192    0.046191649
            3.8      2.1370826    0.021177728       1.931537    0.019142395       2.277791    0.023413566
              4     0.55045583    0.010788307     0.50029209   0.0097779811     0.58027637      0.0119168
            4.2     0.15781328   0.0057391024     0.14438394    0.005284585     0.16428422   0.0062029002
            4.4    0.039816351   0.0029023527     0.03686785   0.0026884257    0.041213015   0.0030282322
            4.6    0.011903858   0.0015629641    0.011038823   0.0014643962    0.012243797   0.0016110538
            4.8   0.0024628671  0.00076789534   0.0020182016  0.00080667389   0.0025581798  0.00076753922
              5   0.0024628671  0.00076789534   0.0020182016  0.00080667389   0.0025581798  0.00076753922
