# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.610761    0.053113531      12.230111     0.04766635      14.706452    0.058787597
            0.2      39.070293    0.089359094      35.091027    0.080256676      42.267823    0.098873851
            0.4      59.999844     0.11011696      53.867325    0.098893699      64.969442     0.12188926
            0.6        76.3762     0.12368951       68.51641     0.11099912      82.846062     0.13676517
            0.8      89.378513     0.13333084      80.156482     0.11980978      97.031523      0.1480206
              1      99.650333     0.14039121      89.312011     0.12638767      108.34243     0.15659184
            1.2      108.46639     0.14614768      97.175485     0.13114714      118.03738     0.16169686
            1.4      116.77392     0.15132917       104.5952     0.13583416      127.16578     0.16763933
            1.6      125.90778     0.15679486       112.7635     0.14111484       137.1759     0.17487365
            1.8      136.17946     0.16267934      121.96947     0.14654439      148.40099     0.18232633
              2      148.50384     0.16941181      133.01345     0.15219145      161.87798     0.18804297
            2.2      164.12665     0.17748385      147.00692      0.1593614      178.94746     0.19669766
            2.4      183.86393     0.18702016      164.74541     0.16830493      200.39558     0.20839348
            2.6      207.46261     0.19760546      185.95474     0.17751747      226.03337     0.21877189
            2.8      234.08981      0.2086874      209.94732     0.18752693      254.81209      0.2309115
              3      237.40827     0.21011084      212.92462      0.1891233      258.34306     0.23402865
            3.2      117.17372     0.15195795      104.46696     0.14592796       128.4106     0.20831375
            3.4      67.240739     0.11657079      59.545563     0.10339156      74.341646     0.13171405
            3.6      42.283285    0.093158455      37.252435     0.08209737      47.053212     0.10574673
            3.8      27.989645     0.07623844      24.542058    0.066802154       31.34162     0.08726317
              4      18.861461    0.062808059      16.488223    0.054867233      21.191686    0.072318397
            4.2      12.765093    0.051878577      11.118705    0.045102499      14.411027    0.059877248
            4.4      8.7443527    0.043023871      7.5922575     0.03733058      9.9129721    0.050071654
            4.6      6.2064752    0.036309477      5.3753521    0.031372139      7.0575713    0.042177895
            4.8      4.2647987    0.030129642      3.6816946    0.025958565      4.8713631    0.035180733
              5      4.2647987    0.030129642      3.6816946    0.025958565      4.8713631    0.035180733
