#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   0.0016419114  0.00076790082   0.0013011338   0.0008352353   0.0017920044  0.00073232637
           -3.8    0.022418758   0.0021670382    0.018783966   0.0018293125    0.026540817   0.0026035296
           -3.6     0.14322803   0.0055208164      0.1213545   0.0046935193     0.16681057   0.0065946068
           -3.4     0.52141996     0.01059387     0.44539745   0.0090391706     0.59997434    0.012637773
           -3.2      1.5291865    0.018101784      1.3218038    0.015637952      1.7329889    0.021411926
             -3      3.5794921    0.027554854      3.1186663    0.023968207      4.0230462    0.031893817
           -2.8      7.2684399    0.039242633      6.3889687    0.034465599      8.0800916    0.045082568
           -2.6      12.791743    0.051753276      11.321589    0.045807409      14.105225    0.058783739
           -2.4      20.777512    0.065683226       18.47854    0.058441086       22.78893    0.074022507
           -2.2      31.373466    0.080364299      27.968439    0.071677681      34.340065    0.089746718
             -2      44.068352    0.094858657      39.380715    0.084938195      48.112931     0.10605639
           -1.8      58.618507      0.1088801       52.43424    0.097804668      63.941213     0.12209032
           -1.6      74.545942     0.12224501      66.740241     0.10964587      81.250428     0.13595964
           -1.4        91.2899     0.13472532      81.756074     0.12084206      99.489955      0.1495232
           -1.2      107.75636     0.14573807      96.499799     0.13075499      117.45218     0.16153739
             -1      123.29026     0.15533684      110.37186     0.13945453      134.46113     0.17270953
           -0.8      137.09023     0.16325565      122.73243     0.14639647      149.49977     0.18091753
           -0.6      147.82563     0.16912186      132.32529     0.15160154      161.22391     0.18734824
           -0.4      156.01287     0.17339185      139.63973     0.15576795      170.17444     0.19304661
           -0.2      159.56091     0.17520412       142.7869     0.15737247      174.09394     0.19530443
              0      159.72878     0.17529007      142.92545     0.15724452       174.3001     0.19472854
            0.2       156.0514     0.17339318      139.63973     0.15540533      170.27926     0.19197187
            0.4      147.99155     0.16919315      132.44507      0.1517865      161.46679     0.18781797
            0.6      136.95955     0.16316974      122.60942     0.14638461      149.36205     0.18108688
            0.8      123.50021     0.15544142      110.63006     0.14990418       134.5427     0.21129793
              1      107.73935     0.14573139      96.465637     0.13119597      117.46716      0.1635238
            1.2      91.205879     0.13465115      81.667834     0.12077202      99.422599     0.14929345
            1.4      74.499699     0.12222801      66.709821     0.10969697      81.182216      0.1359287
            1.6      58.488768     0.10878118      52.310558    0.097428693      63.820977     0.12095362
            1.8      43.851695    0.094593006      39.181698    0.084611059      47.884923     0.10544882
              2      31.272559    0.080238522       27.90502    0.071926908      34.177265    0.091080869
            2.2      20.830691     0.06573622      18.525168    0.058595615      22.849664    0.074573668
            2.4      12.920646    0.052033993      11.435186    0.046189807      14.249198    0.059802014
            2.6      7.2708996    0.039088245      6.3912236    0.034386757      8.0828807    0.044832787
            2.8      3.5548934     0.02750172      3.1023536    0.023931446      3.9833124    0.031851722
              3      1.5515638    0.018217158      1.3416968    0.015694403      1.7584342    0.021480949
            3.2     0.52748442    0.010602398     0.44974474   0.0090472609     0.60907879    0.012589292
            3.4     0.13639524   0.0054866081     0.11401582   0.0048027318     0.16180992   0.0075792989
            3.6    0.024297207   0.0022933582    0.020718497   0.0019646565    0.028012715   0.0026810301
            3.8   0.0014366725  0.00068066647     0.00121106  0.00060052878   0.0016955343  0.00075052147
              4   0.0014366725  0.00068066647     0.00121106  0.00060052878   0.0016955343  0.00075052147
