#       dyttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      1.0458168    0.016430116     0.83694641     0.01300963      1.2967426       0.021046
           -3.8      1.5335467    0.018748492      1.2367592    0.014982635      1.8853722    0.023883998
           -3.6       2.218051    0.022046788      1.8019239    0.017770629      2.7061333    0.027655145
           -3.4      3.1394196    0.026009188      2.5769435    0.021234127      3.7821491    0.032552918
           -3.2      4.4323479    0.030754404      3.6642206    0.025316126      5.3005499    0.037929378
             -3      6.2607205    0.036525619      5.2273072    0.030345582       7.401978    0.044467211
           -2.8      8.7672033    0.043097221      7.3890879    0.036217591      10.251434    0.052102176
           -2.6      12.321513    0.050945721        10.4883    0.043275075      14.241199    0.061005096
           -2.4      17.239481    0.059995538       14.81833    0.051460707      19.696403    0.070681676
           -2.2      24.310547    0.070995299      21.081508    0.061554515      27.484081    0.082785769
             -2      33.772667    0.083356178      29.495352    0.072685745      37.877976    0.095701015
           -1.8      46.017988    0.096872093      40.478674    0.085148842      51.178718     0.11027816
           -1.6      61.626366     0.11152496      54.567772    0.098877601       68.00653     0.12597156
           -1.4      79.613826      0.1261106      70.887505     0.11279383      87.282562      0.1424795
           -1.2      100.11541     0.14064269      89.561082      0.1265674      109.17368     0.15792214
             -1      120.90039     0.15371373      108.56494     0.13836543       131.2829     0.16959589
           -0.8      141.43745     0.16544424      127.42355     0.14948282      153.00075     0.18175725
           -0.6      159.11047     0.17473395      143.62985     0.15819292      171.77039     0.19116552
           -0.4      172.90566     0.18156539       156.3131     0.16457746      186.36593     0.19798338
           -0.2      179.58316     0.18478662      162.44709     0.16782605      193.44556      0.2019895
              0      179.63741     0.18481303      162.44775     0.16795944      193.58608     0.20305953
            0.2       172.8127     0.18152978      156.25002     0.16457741      186.22745     0.19801404
            0.4      158.92087     0.17463208       143.4664     0.15803329      171.55001     0.19079487
            0.6      141.60392     0.16554541      127.57132     0.14962733      153.18684     0.18211582
            0.8      121.23458     0.15395263      108.88719     0.13894468      131.59828     0.17112539
              1      99.875929     0.14048686      89.341139     0.12593256      108.91834      0.1562106
            1.2      79.616287     0.12613435      70.884142      0.1125408      87.303635     0.14157405
            1.4      61.488935     0.11141936      54.437878    0.098781816      67.865211      0.1261194
            1.6      46.078045    0.096908875      40.545929    0.085293191      51.217377     0.11049879
            1.8       33.66909    0.083211337      29.408816    0.072663252      37.752474    0.095770107
              2      24.410134    0.071186973      21.169797    0.061720335      27.592267    0.083646677
            2.2      17.261292    0.060035509      14.829611    0.051446812      19.735781    0.070664895
            2.4        12.3205    0.050882017      10.482936     0.04328839      14.249797    0.060978382
            2.6      8.7552154    0.043049505      7.3743275    0.036086988       10.24783    0.051864229
            2.8      6.2206647    0.036426723      5.1953608    0.030367044      7.3489021    0.044869446
              3      4.4604004    0.030890779      3.7435154    0.059703905      5.2100954     0.12636989
            3.2      3.1280626    0.025952665      2.5650274    0.021159563      3.7756982    0.032340367
            3.4      2.2337491    0.022076726      1.8137733    0.017815712      2.7263993    0.027697211
            3.6      1.5501769    0.018798554      1.2484579    0.015018028      1.9100295    0.023863794
            3.8      1.0501294      0.0164326     0.83731913    0.012972979      1.3090808    0.021131514
              4      1.0501294      0.0164326     0.83731913    0.012972979      1.3090808    0.021131514
