#  dphiHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      115.35192     0.15085543      103.22342     0.13511052      125.54617     0.16788086
            0.2      114.09759     0.14999196      102.06344     0.13428491      124.27455     0.16690989
            0.4       112.8811     0.14914609      100.94294     0.13350009      123.04025     0.16568093
            0.6      111.78762     0.14842075      99.919286     0.13285569       121.9672     0.16506333
            0.8      112.15614     0.14859551      100.26566     0.13345051      122.37438     0.16667013
              1      113.24401     0.14922624      101.17747     0.13359343      123.72761     0.16592122
            1.2      116.72475     0.15139573       104.2802     0.13558031      127.56689     0.16847769
            1.4      122.14299     0.15464195      109.15843     0.13906103      133.46285     0.17380083
            1.6      129.77307     0.15915498      115.97091     0.14248917      141.84745     0.17671699
            1.8      140.07759     0.16494509      125.20504     0.14823695      153.11195     0.18525648
              2      153.57389     0.17224299       137.2779     0.15427556      167.89499     0.19137416
            2.2      171.67711      0.1813743      153.50316     0.16250375      187.64602     0.20146796
            2.4      193.34003     0.19156682      172.99822     0.17197302      211.11036     0.21350601
            2.6      219.47958     0.20299607      196.57089      0.1899579      239.29268     0.25589794
            2.8      245.39394     0.21344097      219.84568     0.19173689      267.42845     0.23758746
              3      184.47433     0.18777227       165.3218     0.16862124      200.90371     0.20888823
            3.2      184.47433     0.18777227       165.3218     0.16862124      200.90371     0.20888823
