#      R_yttbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       5.582383    0.036706046      4.9388325    0.032561039        6.24561    0.041422099
            0.2      16.076128    0.062070528      14.307349    0.055412839      17.828703    0.069451316
            0.4      25.456406    0.077935962      22.727336    0.069770441      28.086597    0.086549901
            0.6      34.075399    0.090017929      30.497916    0.080807557      37.438582    0.099710002
            0.8      41.799697    0.099523695      37.442364    0.089394437      45.840941     0.10998383
              1      49.512299     0.10814602      44.369638     0.09715714      54.234001     0.11938123
            1.2      57.878582     0.11674325      51.870143     0.10490604      63.352283     0.12885644
            1.4      67.339953     0.12566809      60.377522     0.11297292      73.605386     0.13859871
            1.6      80.329005     0.13688001      72.061174     0.12308117      87.675317      0.1506847
            1.8      97.744208     0.15042778      87.778553     0.13789574      106.45024     0.17114322
              2       121.6224     0.16692319      109.31617     0.15061676       132.1577     0.18438313
            2.2      156.33749      0.1877736       140.7716     0.17175516      169.27316     0.21376085
            2.4      205.52486     0.21283384       185.3717     0.19269133      221.76344      0.2336886
            2.6      274.43523     0.24197646      248.03422     0.21960537      294.86063     0.26541039
            2.8      361.29188     0.27185763      327.25415     0.24681487      386.44972     0.29704743
              3       400.6744     0.28371501      362.91971     0.25779197      428.00465     0.31255574
            3.2       163.5588     0.19280516      145.65158     0.17251218      178.46107     0.22015239
            3.4      73.064102     0.13210156      63.925369     0.11600342      81.456831     0.15552017
            3.6      35.754264    0.093716426       30.78413    0.080763454      40.634189     0.11179333
            3.8      18.237531    0.067808426      15.489884    0.057152329       21.04733     0.08124038
              4      9.7137103    0.050414412      8.1511109    0.041887322      11.355686    0.061406664
            4.2      5.2378092    0.037831539      4.3553216    0.031071587      6.1783294    0.046483086
            4.4      2.8738103    0.028882193      2.3633243    0.023390288      3.4312931    0.036098306
            4.6      1.6056854    0.022397267      1.3114099    0.018316274      1.9272465    0.029269145
            4.8     0.90025214    0.017721706     0.72612055    0.013979918      1.0967717     0.02282714
              5     0.90025214    0.017721706     0.72612055    0.013979918      1.0967717     0.02282714
