#    dyHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4     0.16518968   0.0068230473     0.13761531   0.0056294249     0.19358931   0.0088014906
           -3.8     0.30052629   0.0089901301     0.24865891   0.0073512005     0.35719596    0.011230122
           -3.6     0.52441927    0.011761272     0.44078042   0.0098582358     0.61109891    0.014410043
           -3.4     0.88985595    0.015207124      0.7519537    0.012746209      1.0307367    0.018302544
           -3.2       1.493517    0.019644562      1.2694068    0.016579513      1.7187196    0.023554507
             -3      2.4305361    0.024936169      2.0851998    0.021279195      2.7677274    0.029525254
           -2.8      3.8837959    0.031461845      3.3518228    0.026965304       4.393874    0.036947156
           -2.6      6.1284161    0.039373699      5.3229264    0.034062901      6.8863665    0.045850075
           -2.4      9.3824854     0.04845656      8.2145538    0.042550904      10.444738    0.056687287
           -2.2      14.139259    0.059153658      12.458492    0.052563638      15.619906    0.069635762
             -2      20.888488    0.071413296      18.497668      0.0631597      22.956292    0.080509932
           -1.8       30.37748    0.085659124      27.080498    0.076705643      33.116841    0.096933866
           -1.6      43.599926     0.10210876      39.015472    0.091639784      47.345682     0.11424911
           -1.4      61.517057     0.12064693      55.204383     0.10846863      66.630375     0.13374215
           -1.2      84.549636     0.14054916      76.024237     0.12666727      91.436448     0.15491862
             -1      113.11201     0.16145836      101.84218     0.14564266      122.20085      0.1774573
           -0.8      145.55799     0.18178463      131.16321     0.16424301      157.17441     0.20011516
           -0.6      179.72633     0.20040206      161.94208     0.18152365      194.18429     0.22222094
           -0.4      208.25258     0.21431609      187.59957     0.19524716      225.17079      0.2398825
           -0.2      225.48165     0.22215807      203.11438      0.2008803      243.82088     0.24604916
              0       225.5271     0.22216377      203.09905     0.20232759      243.97464     0.25079011
            0.2      208.42464     0.21441847      187.72332     0.19351524      225.41636     0.23592996
            0.4      179.83758     0.20047761      161.97602     0.18118912      194.43214     0.22124447
            0.6      145.99129     0.18205337      131.52129     0.16466595      157.69669     0.20147851
            0.8      113.46152     0.16168931      102.11679       0.145923      122.65723     0.17818453
              1      84.822327     0.14075265      76.229689     0.12673937      91.806087     0.15512569
            1.2      61.601054     0.12070564      55.264792     0.10890108      66.758601     0.13547157
            1.4      43.587302     0.10209957      38.970304    0.091383789      47.400096      0.1136902
            1.6      30.685128    0.086155297      27.305911    0.076629704      33.550856    0.096597761
            1.8      21.137304    0.071837943      18.713604    0.063623028       23.24206     0.08156725
              2      14.329928     0.05948398      12.605598    0.052196495      15.878849    0.067847087
            2.2       9.395324    0.048379863      8.2214725    0.043191872      10.463571    0.058531721
            2.4      6.1966843    0.039619028      5.3704813    0.034158199      6.9876356    0.046154281
            2.6      3.9305168    0.031641432      3.3881195    0.027142498      4.4570503    0.037414811
            2.8      2.4848795    0.025251928      2.1229666    0.021427872      2.8483297    0.030035743
              3       1.502321    0.019651159      1.2758305    0.016600801      1.7321056    0.023631368
            3.2     0.88705046    0.015223353     0.74712391    0.012717246      1.0322704    0.018570585
            3.4     0.52304278     0.01172352      0.4354795   0.0096970079     0.61736237    0.014367225
            3.6     0.30727227    0.009189489     0.25585022   0.0075704319     0.36217173    0.011448073
            3.8     0.16092565   0.0067654317     0.13168547   0.0054299533     0.19432049   0.0086835411
              4     0.16092565   0.0067654317     0.13168547   0.0054299533     0.19432049   0.0086835411
