# R_etattbarHig        central        num_err    min (scale)        num_err    max (scale)        num_err
# gs
              0      4.1426339    0.031611327      3.6781974    0.028107706      4.5733809    0.035185851
            0.2      12.082366    0.053898067      10.728417    0.047943458      13.334177    0.060146553
            0.4      19.176404    0.067805844      17.029332    0.060464281      21.153175    0.076075519
            0.6      25.388507    0.077932326      22.532895    0.069295581      28.023411    0.087034369
            0.8      30.930468    0.085922056      27.441942    0.076377854      34.142163    0.095990385
              1      36.042569    0.092641686       31.97815    0.082313057      39.775488      0.1033042
            1.2      41.121991    0.098885538      36.480453    0.087875496      45.376611     0.11048327
            1.4       46.52719     0.10507161       41.30777    0.097484196       51.25876     0.13046388
            1.6      53.333588     0.11233903      47.351717     0.10038166      58.749932     0.12737152
            1.8      61.940895     0.12084268        55.0267     0.10761507      68.151973      0.1351691
              2      73.894772     0.13165922      65.680502     0.11777824      81.230553     0.14906343
            2.2      91.254711     0.14573927      81.155616     0.12989964      100.23028     0.16267295
            2.4      119.86404     0.16595852      106.80636     0.14864158      131.27317     0.18647405
            2.6      169.47377     0.19516571      151.29241      0.1745364      185.14559     0.21671569
            2.8      274.36249     0.24223121      245.90052     0.21929287      298.19125     0.27254793
              3      505.15427     0.30978262      457.78555     0.28154084      541.48641     0.34036588
            3.2      287.64047     0.24750709      261.02512     0.22524167      307.69243     0.27152028
            3.4      159.75399     0.19036462      144.65723     0.17274268      171.22196     0.20952591
            3.6      96.796889     0.15056784      87.424243      0.1365206      103.99981     0.16726362
            3.8      61.272177     0.12086017      55.188934     0.10884638      66.026385     0.13368134
              4      40.551973    0.098845174      36.442844    0.088886282      43.803643     0.11025349
            4.2      27.589063     0.08175486      24.744134    0.073903637      29.866563    0.092722103
            4.4      19.129786    0.068257886        17.1199    0.061081045      20.762938    0.076227716
            4.6      13.592712    0.057634277      12.147283    0.051457073      14.776718    0.064200537
            4.8      9.7705165    0.048909163      8.7233245    0.043612377      10.633171    0.054560911
              5      9.7705165    0.048909163      8.7233245    0.043612377      10.633171    0.054560911
