#  R_yHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       20.90716    0.071129797      18.771852    0.064634826      22.651403    0.081605971
            0.2       58.83807      0.1182148      52.826374      0.1061843      63.767383     0.13059698
            0.4      86.442602     0.14222754      77.651365     0.12831436        93.6149     0.15824965
            0.6      104.18534     0.15538173      93.611738     0.13999138      112.82125     0.17204968
            0.8      114.28192     0.16228669      102.69972     0.14619153      123.75278     0.17923916
              1      120.43595     0.16634138      108.24988      0.1498515      130.40694     0.18347535
            1.2      123.97215     0.16858873      111.41533     0.15221312       134.2592      0.1873217
            1.4      127.70475     0.17097478      114.78375     0.15416847      138.30418     0.18916119
            1.6      132.77737     0.17413095      119.28914     0.15671122      143.91849      0.1918062
            1.8      140.11598     0.17859516      125.91226     0.16314983      151.84454     0.20481329
              2      150.57105     0.18469876      135.32157     0.16660013      163.18855     0.20443417
            2.2      164.13412     0.19228505      147.54577     0.17324076      177.88736     0.21200981
            2.4      181.57494     0.20144843      163.31267     0.18190291      196.65928     0.22338948
            2.6      203.82169     0.21238694      183.42058       0.191441      220.60137     0.23389986
            2.8      226.71411     0.22286388      204.22022     0.20115069      244.99199     0.24580599
              3      220.92384     0.22053056      199.20316     0.20134303      238.25934     0.24896566
            3.2      75.444452     0.13374702      67.414695     0.11958123      82.133637     0.14953418
            3.4      29.623095    0.085311276      26.191096     0.07597829      32.608749    0.099063981
            3.6      13.337575     0.05803858      11.641449    0.050472231      14.901955    0.067721567
            3.8      6.2543117    0.040109297      5.3983799    0.034376192      7.0777759    0.047277817
              4      2.9316621    0.027741543       2.501985    0.023455365       3.361107    0.033169033
            4.2      1.4067753    0.019368476       1.190665     0.01628325      1.6264458    0.023625411
            4.4     0.64775262    0.013090555     0.53962103    0.010837764     0.76455691    0.016022622
            4.6     0.29096643   0.0089089891     0.24216823   0.0073602358      0.3423916    0.011161431
            4.8     0.12763794   0.0059772461     0.10452508   0.0048595796     0.15334149    0.007523221
              5     0.12763794   0.0059772461     0.10452508   0.0048595796     0.15334149    0.007523221
