# R_etaHiggstop        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.900608    0.058239219      12.488815     0.05227006      15.023037    0.064378378
            0.2      39.516303    0.097454372      35.504118    0.087508705      42.719407     0.10777149
            0.4      60.432086     0.11974986      54.301822     0.10759965        65.3511     0.13206189
            0.6      76.870331     0.13443453      69.127848     0.12460894      83.039458     0.16115905
            0.8      89.346878     0.14440167      80.264466      0.1301993      96.733677     0.16027101
              1      98.964686      0.1516011      88.955951     0.13667808      107.08595      0.1678272
            1.2      107.65772     0.15773537      96.796049     0.14258012      116.48804     0.17557328
            1.4      115.73947     0.16324023      104.07713     0.14936484      125.25112     0.18517433
            1.6      124.40741     0.16887062      111.88558     0.15254853      134.64247     0.18715164
            1.8      134.17426     0.17496501      120.66064     0.15791641      145.27569     0.19351865
              2      145.86398     0.18194932      131.20391     0.16400415      157.92082     0.20029705
            2.2      160.74425     0.19036923       144.6692     0.17173989      173.92448     0.20962591
            2.4       179.5445     0.20030965       161.6297     0.18070092      194.22802     0.22032324
            2.6      201.81287     0.21130732       181.7475     0.19078942      218.21002     0.23276632
            2.8      226.58793     0.22264729      204.26673     0.20122943      244.62156     0.24511566
              3      228.14194     0.22348622      205.76322     0.20214882      246.02526     0.24694261
            3.2      112.95911      0.1617456      101.31445     0.14533562      122.62732     0.17967065
            3.4      64.527323     0.12385732      57.550756     0.11106788       70.53355     0.14049712
            3.6      40.741866    0.099163805      36.165266    0.088481227      44.799786     0.11291793
            3.8      26.894938    0.080966228      23.771149     0.07169049      29.737429    0.092146079
              4        18.1416    0.066809145      15.967182    0.058708416      20.168452    0.076077509
            4.2      12.401961    0.055495963      10.883535    0.048607109      13.838361    0.063578588
            4.4      8.5504033     0.04608971      7.4867953    0.040336519      9.5639304    0.052914184
            4.6      5.9097645    0.038417914      5.1574266    0.033474049      6.6405669    0.044289725
            4.8      4.1420021    0.032284241      3.6045472    0.028019807      4.6704736    0.037378815
              5      4.1420021    0.032284241      3.6045472    0.028019807      4.6704736    0.037378815
