#      etaHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4      3.9144675    0.030752392      3.5423468    0.027911775      4.1911669    0.033527435
           -3.8      5.6689573    0.037038692      5.1357866    0.033637719      6.0592893     0.04060925
           -3.6      8.1324501    0.044328494      7.3542415    0.040163597      8.7213646     0.04834516
           -3.4      11.515011    0.052660617       10.41124    0.047731393      12.354906    0.057209507
           -3.2      15.856161    0.061779547      14.326948    0.055922848      17.032343    0.067390991
             -3      21.403229    0.071677988      19.340001    0.065025354      22.997126    0.079032213
           -2.8      28.405104    0.082496676      25.647662    0.074682608      30.567693    0.090480346
           -2.6      36.494702    0.093322658      32.924472    0.084344519      39.330744     0.10220641
           -2.4      45.880745      0.1044253      41.387474    0.094732812      49.461207     0.11581408
           -2.2      55.599103     0.11469465      50.088941     0.10364972      60.061786      0.1264173
             -2        65.3565     0.12406838       58.83363     0.11187846      70.688605     0.13604534
           -1.8       74.78319     0.13245985      67.283075     0.11946598      80.933567     0.14603884
           -1.6      83.455787     0.13972644       75.02635      0.1258321      90.423119     0.15405007
           -1.4      90.330464     0.14518816       81.12854      0.1305756      97.985698     0.16027569
           -1.2      95.657936     0.14925278      85.876018     0.13479955      103.79617     0.16713844
             -1      99.272541     0.15198149      89.065879     0.13715821      107.78214     0.17056326
           -0.8      100.96471     0.15326896      90.501196     0.13747774      109.74789     0.16959377
           -0.6      101.21156     0.15350865      90.691616     0.13769192      110.03694     0.17032634
           -0.4      101.45832     0.15368161      90.879242     0.13787341      110.34438     0.17079649
           -0.2       101.1278     0.15345501      90.574316     0.13789288       109.9908     0.17113695
              0      101.30334     0.15359623       90.75951     0.14064968      110.12911     0.18050546
            0.2      101.11869     0.15345745      90.625405     0.13829783      109.88147     0.17236636
            0.4       101.0142     0.15335291      90.528014     0.13755006      109.79801      0.1699264
            0.6      100.97344     0.15326127      90.529602       0.137634      109.71761     0.16999954
            0.8      98.786984      0.1516299      88.634601     0.13863975       107.2528     0.17321901
              1      95.610016     0.14921276      85.835188     0.13427591      103.74332     0.16529532
            1.2      90.004115     0.14491984      80.850739     0.13038937      97.595402     0.16005653
            1.4      83.282146     0.13956178      74.891312     0.12579883      90.179331     0.15397603
            1.6      74.685833     0.13240401      67.222819     0.11940389       80.78302     0.14578721
            1.8      65.195616     0.12395446      58.729705     0.11223702      70.432768     0.13761053
              2      55.267219     0.11438278      49.819812     0.10342437      59.641634      0.1264047
            2.2      45.593316     0.10407393      41.119269    0.094031902      49.170763     0.11383305
            2.4      36.490593    0.093304845      32.935614    0.084359781      39.298594     0.10203081
            2.6      28.376726    0.082405743      25.630722    0.074694307      30.515263    0.090779722
            2.8       21.44596    0.071748126      19.383611     0.06524178      23.032812       0.079279
              3      15.822754    0.061707979      14.313755    0.056365889      16.960764    0.068818112
            3.2      11.491642    0.052629567      10.383764    0.047650832      12.339016    0.057353002
            3.4      8.1592761    0.044408784      7.3854833    0.040278492       8.733896     0.04847392
            3.6      5.7306267    0.037223808      5.1852837    0.033862961      6.1372554     0.04099734
            3.8      3.9399193    0.030870664       3.563988    0.027973474      4.2187404    0.033553663
              4      3.9399193    0.030870664       3.563988    0.027973474      4.2187404    0.033553663
