#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       13.88923    0.058131457      12.482957    0.052230244      15.005436    0.064265316
            0.2        39.5948    0.097499243       35.58559    0.087615267      42.790266     0.10776572
            0.4      60.794838     0.12005324      54.638379     0.10837139      65.721664     0.13361231
            0.6      77.141676     0.13459413       69.35024     0.12181935      83.391597     0.15127587
            0.8      89.638799     0.14460474       80.58863     0.13023334      96.941468     0.15956195
              1      99.564914     0.15199301      89.511141     0.13684321      107.71504     0.16722222
            1.2       107.8117     0.15782945      96.900738     0.14210142      116.73044      0.1737448
            1.4      116.02254     0.16341335      104.31559     0.14717654      125.58956     0.17983152
            1.6      124.13125      0.1686792      111.63053     0.15221824      134.35864     0.18667951
            1.8      134.41501     0.17511998      120.92842     0.16062038      145.42666     0.20221342
              2      145.73256     0.18186816      131.08397     0.16383053      157.77346     0.19987777
            2.2      160.59628     0.19027299      144.51144     0.17178621      173.80926     0.20985184
            2.4       178.9711     0.20004172      161.12516      0.1810181      193.57669     0.22208646
            2.6      201.20623     0.21104482      181.22097     0.19044836       217.5216     0.23213832
            2.8      225.69183     0.22230257      203.44646     0.20076028      243.66218      0.2445791
              3       227.6941     0.22335117      205.41256     0.20232972      245.44096      0.2477672
            3.2       112.8258     0.16168799      101.18168     0.14770741      122.50399     0.18570049
            3.4       64.52107      0.1238472      57.503336     0.11045392      70.609944     0.13855676
            3.6      40.982333    0.099463422      36.358646    0.088780687      45.102051     0.11352915
            3.8      27.213149    0.081490333      24.043967    0.071908587      30.102944    0.092299466
              4      18.211436    0.066901526      16.028074    0.058811855      20.244792    0.076184879
            4.2      12.502353    0.055667194      10.963243    0.048727916      13.964067     0.06355607
            4.4      8.6404749    0.046355934      7.5641749    0.040610984      9.6680628    0.053606158
            4.6      5.9471085    0.038563253      5.1883688    0.033588279      6.6853359    0.044566093
            4.8      4.2033706    0.032525662      3.6598081    0.028243222      4.7367617    0.037597193
              5      4.2033706    0.032525662      3.6598081    0.028243222      4.7367617    0.037597193
