# dphiHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.976118              0      13.950232              0      14.002004              0
            0.2      13.788441              0      13.764097              0      13.812785              0
            0.4      13.487774              0      13.465527              0      13.510021              0
            0.6      13.250571              0      13.230302              0       13.27084              0
            0.8      13.118526              0      13.099077              0      13.137975              0
              1      13.253916              0      13.235594              0      13.272238              0
            1.2      13.527597              0      13.510118              0      13.545076              0
            1.4      14.022264              0       14.00458              0      14.039948              0
            1.6      14.830853              0      14.813201              0      14.848505              0
            1.8      15.973946              0      15.955037              0      15.992855              0
              2      17.513488              0      17.494085              0      17.532891              0
            2.2      19.596654              0      19.575267              0      19.618041              0
            2.4      22.273937              0       22.25007              0      22.297804              0
            2.6      25.746113              0      25.717416              0       25.77481              0
            2.8      29.642063              0      29.608826              0        29.6753              0
              3      22.899065              0      22.863524              0      22.934606              0
            3.2      22.899065              0      22.863524              0      22.934606              0
