#R_etaHiggstbar        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1.8017303              0      1.7896034              0      1.8138572              0
            0.2      5.1076109              0      5.0887062              0      5.1265156              0
            0.4      7.6924192              0      7.6728994              0       7.711939              0
            0.6      9.7105292              0      9.6899941              0      9.7310643              0
            0.8      11.142604              0      11.123072              0      11.162136              0
              1      12.256121              0      12.236927              0      12.275315              0
            1.2      13.158715              0      13.140502              0      13.176928              0
            1.4      14.051487              0      14.033587              0      14.069387              0
            1.6      15.010424              0      14.992252              0      15.028596              0
            1.8      16.120745              0       16.10251              0       16.13898              0
              2      17.522847              0      17.504333              0      17.541361              0
            2.2      19.342046              0      19.322613              0      19.361479              0
            2.4      21.673022              0      21.652137              0      21.693907              0
            2.6      24.667837              0      24.644913              0      24.690761              0
            2.8      28.418708              0      28.392339              0      28.445077              0
              3      29.230731              0      29.201075              0      29.260387              0
            3.2      13.140239              0      13.117314              0      13.163164              0
            3.4       6.725618              0      6.7069738              0      6.7442622              0
            3.6      3.8670599              0      3.8500061              0      3.8841137              0
            3.8      2.3440168              0      2.3292266              0       2.358807              0
              4      1.4303233              0      1.4154911              0      1.4451555              0
            4.2     0.89096294              0     0.87564742              0     0.90627846              0
            4.4     0.57631544              0     0.56677609              0     0.58585479              0
            4.6     0.37592088              0     0.36513565              0     0.38670612              0
            4.8     0.22778957              0     0.22164913              0     0.23393001              0
              5     0.22778957              0     0.22164913              0     0.23393001              0
