#          ytop        central        num_err    min (scale)        num_err    max (scale)        num_err
             -4   -0.060580551       0.108216   -0.060580551       0.108216    0.009075547     0.25541473
           -3.8    0.056880019    0.025111616  -0.0062323108    0.011666055     0.06796955     0.02992653
           -3.6    0.076593041    0.027542474   0.0075075209    0.019508184     0.16931677    0.046617462
           -3.4     0.19150304     0.03115971    0.045979064    0.019187315     0.32104626    0.053034733
           -3.2      1.1034405    0.068710556     0.89910289    0.054594243      1.3414787    0.094009008
             -3      2.9401933     0.11038411      2.5224352    0.094048195      3.4370981     0.14933122
           -2.8      6.3852385     0.16192372       5.720022     0.14130594      7.0700097     0.22116486
           -2.6      12.097091     0.22492356       11.02293     0.19740213       13.27303     0.29705802
           -2.4      20.143523     0.28400266      18.448333     0.25336342      21.898436      0.3803505
           -2.2      30.462511     0.35034775      28.051559     0.31536068      32.952833     0.46578623
             -2      44.183148     0.42727708      40.933581     0.38547385      47.746294     0.56940306
           -1.8      59.126289     0.48603816      55.025176     0.44358718      63.098702     0.64023645
           -1.6      74.285928      0.5470771      69.361653     0.50463417      79.196519     0.74306623
           -1.4      92.512187     0.60251381      86.428449     0.55356122       97.62219     0.79370542
           -1.2      108.76114     0.65220365       101.6189     0.60182026      115.09853     0.85814303
             -1      123.39648     0.69457725      115.45721     0.63736776      130.37765      0.9117683
           -0.8      138.28431     0.73015992       129.5127     0.67131126      146.16878     0.95387216
           -0.6      149.29589     0.76596059      139.89665     0.70819164      157.57149     0.99448017
           -0.4      158.55289     0.78106487      148.81185     0.71995233       166.8897      1.0020418
           -0.2      161.88142     0.79053512      151.60491     0.72682642      171.39588      1.0531674
              0      161.73276     0.79173094      151.35713     0.73163434      171.01181      1.0262918
            0.2      157.98128     0.77469883      147.80497     0.71009915      167.37967      1.0145529
            0.4       151.0652     0.76417093      141.33816     0.70051433      159.82792     0.99060916
            0.6        139.405     0.73036409       130.1222     0.66735929      148.47649     0.95246382
            0.8      125.05665     0.69530992      116.84741     0.64210695      133.04566     0.92009174
              1      110.11313     0.66427184         103.07     0.60865661       116.2074      0.8929432
            1.2      90.807415      0.5936856      84.716477     0.53781461      96.783263     0.80413741
            1.4      76.047977     0.56098745      71.098612      0.5186161      80.895709     0.76643497
            1.6      58.851233     0.48457735      54.625888      0.4378141      62.666093     0.68238793
            1.8      43.516896      0.4224273      40.322603     0.38328065      46.974552      0.5884007
              2       30.70883     0.35574149      28.284972     0.31855163      33.113692     0.48942798
            2.2      19.631447     0.28539384      18.176982     0.25886443      21.315294     0.40762472
            2.4      11.905767     0.22292044      10.924008     0.19623666      12.992809     0.31594473
            2.6        6.11959     0.16497356      5.4832015     0.14121406      6.8926798     0.23196414
            2.8      3.2241353     0.11945099      2.8416964     0.10093635      3.6200571     0.16410185
              3     0.98860968    0.065515787     0.75081124     0.04927167      1.2600534    0.097945714
            3.2     0.12270898    0.020390916     0.12270898    0.020390916     0.42130764     0.05225815
            3.4    0.029797365    0.017763219     0.01991291   0.0082351378     0.18638656    0.048604002
            3.6   0.0042471369    0.030809422   -0.019678632    0.026921703    0.065214603    0.061816966
            3.8     0.17051108     0.12056588    0.096837768    0.068472938     0.32517933     0.23065099
              4     0.17051108     0.12056588    0.096837768    0.068472938     0.32517933     0.23065099
