# y_Higgs-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
             -8              0              0              0              0              0              0
           -7.9              0              0              0              0              0              0
           -7.8              0              0              0              0              0              0
           -7.7              0              0              0              0              0              0
           -7.6              0              0              0              0              0              0
           -7.5              0              0              0              0              0              0
           -7.4              0              0              0              0              0              0
           -7.3              0              0              0              0              0              0
           -7.2              0              0              0              0              0              0
           -7.1              0              0              0              0              0              0
             -7              0              0              0              0              0              0
           -6.9              0              0              0              0              0              0
           -6.8              0              0              0              0              0              0
           -6.7              0              0              0              0              0              0
           -6.6              0              0              0              0              0              0
           -6.5              0              0              0              0              0              0
           -6.4              0              0              0              0              0              0
           -6.3              0              0              0              0              0              0
           -6.2              0              0              0              0              0              0
           -6.1              0              0              0              0              0              0
             -6              0              0              0              0              0              0
           -5.9              0              0              0              0              0              0
           -5.8              0              0              0              0              0              0
           -5.7              0              0              0              0              0              0
           -5.6              0              0              0              0              0              0
           -5.5              0              0              0              0              0              0
           -5.4              0              0              0              0              0              0
           -5.3              0              0              0              0              0              0
           -5.2              0              0              0              0              0              0
           -5.1              0              0              0              0              0              0
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4              0              0              0              0              0              0
           -4.3              0              0              0              0              0              0
           -4.2              0              0              0              0              0              0
           -4.1              0              0              0              0              0              0
             -4              0              0              0              0              0              0
           -3.9              0              0              0              0              0              0
           -3.8              0              0              0              0              0              0
           -3.7              0              0              0              0              0              0
           -3.6              0              0              0              0              0              0
           -3.5              0              0              0              0              0              0
           -3.4              0              0              0              0              0              0
           -3.3              0              0              0              0              0              0
           -3.2              0              0              0              0              0              0
           -3.1              0              0              0              0              0              0
             -3              0              0              0              0              0              0
           -2.9              0              0              0              0              0              0
           -2.8              0              0              0              0              0              0
           -2.7              0              0              0              0              0              0
           -2.6              0              0              0              0              0              0
           -2.5   0.0008755093  0.00012821654  0.00062857148  0.00010443125   0.0018493948  0.00022526147
           -2.4   0.0035194203  0.00026386762   0.0026134176  0.00020091876   0.0043899308  0.00036679789
           -2.3    0.010215109  0.00043248201   0.0093356501  0.00036851399    0.011082636  0.00058456751
           -2.2    0.017881275  0.00057059359    0.015984872  0.00049515745    0.019765854  0.00074866555
           -2.1    0.028474983  0.00072077174    0.026438042  0.00063807764    0.030984495  0.00098722717
             -2    0.039837396  0.00085361317    0.037003953  0.00076244706    0.042158427   0.0011223681
           -1.9    0.054367582  0.00099374046    0.050142709  0.00088674051    0.058200274   0.0013110409
           -1.8    0.068641841   0.0011076449    0.063676765   0.0009934808    0.073086999   0.0014608319
           -1.7    0.084580068    0.001227318    0.078595135   0.0010991274    0.091550556   0.0016347005
           -1.6    0.099448216   0.0013375511    0.092369525   0.0011979112      0.1068642   0.0017500954
           -1.5     0.11617363   0.0014426436     0.10770404   0.0013017319     0.12293768   0.0019059325
           -1.4     0.13662654   0.0015520311     0.12676361   0.0014014853     0.14686827   0.0020168696
           -1.3      0.1527656   0.0016466179     0.14221355   0.0014886777     0.16250092   0.0021290685
           -1.2     0.16737778   0.0017291635     0.15637754   0.0015715806     0.17668496   0.0022515303
           -1.1     0.18432417   0.0018210507     0.17185429   0.0016619496     0.19592774   0.0023482993
             -1     0.19944401   0.0018779937     0.18627274   0.0017125947      0.2119014   0.0024130266
           -0.9     0.21283591    0.001947514     0.19899606   0.0017868622     0.22516361   0.0025110319
           -0.8      0.2252498    0.002006234     0.21005198   0.0018377399     0.23866441   0.0025593649
           -0.7     0.23517975   0.0020473106     0.21981459   0.0018802153     0.24952938   0.0026428564
           -0.6     0.24901139   0.0020977816     0.23208649   0.0019239331      0.2645713   0.0026467332
           -0.5     0.25276793   0.0021219577     0.23687323   0.0019321438      0.2666248    0.002708737
           -0.4     0.26321633   0.0021453755     0.24545227   0.0019506487     0.27943663   0.0027465354
           -0.3     0.26952955   0.0021626519     0.24993485   0.0019515347     0.28854932    0.002834123
           -0.2     0.27628503   0.0022057661     0.25699261   0.0020108312       0.294214   0.0028070999
           -0.1     0.27603113   0.0021966899     0.25759231    0.001996597     0.29393893    0.002823541
              0     0.27499401   0.0022100901     0.25553023   0.0020058864     0.29366185   0.0028708009
            0.1     0.27401895   0.0022020275     0.25499457   0.0019963704     0.28998768   0.0028408943
            0.2     0.26625252   0.0021759646     0.24895377   0.0019791571      0.2823686   0.0028035315
            0.3     0.25869003   0.0021430658     0.24113606   0.0019482245     0.27476617   0.0028038226
            0.4     0.25970019   0.0021428681     0.24163927    0.001950604     0.27646232   0.0027637703
            0.5     0.24813037   0.0020943516     0.23156873   0.0019112574     0.26306272   0.0026956806
            0.6     0.23647852   0.0020610776     0.22069983    0.001892444      0.2499189    0.002621386
            0.7     0.22455049   0.0019935239     0.20886751   0.0018091046     0.23977589    0.002598381
            0.8     0.20921969   0.0019339966     0.19512491   0.0017439385     0.22151585   0.0025281669
            0.9     0.19631063   0.0018887956     0.18226256   0.0017169645     0.20902091   0.0024228198
              1     0.18173487   0.0018052619     0.16939821   0.0016249383     0.19276635   0.0023643489
            1.1     0.16894176    0.001743124     0.15695112   0.0015766106     0.18088864   0.0022946357
            1.2     0.15536438   0.0016639292     0.14471878   0.0015071144     0.16578083   0.0022080066
            1.3     0.13872309   0.0015709395     0.12866047   0.0014127826     0.14902055    0.002087877
