#           ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  0.00041534108  1.1994568e-05   0.0003846372   1.052313e-05  0.00044584483   1.530366e-05
              5   0.0013188979  2.1847795e-05   0.0012253678  1.9506169e-05   0.0014083697  2.7848654e-05
             10   0.0021160677  2.7465197e-05   0.0019671713  2.4590713e-05   0.0022693588   3.523622e-05
             15   0.0029942155   3.300616e-05   0.0028039162  2.9889654e-05   0.0031686745  4.2474674e-05
             20   0.0036811467  3.6150443e-05   0.0034565509  3.2554693e-05   0.0039020992   4.672861e-05
             25   0.0044630675  4.0094002e-05   0.0041965757  3.6487438e-05   0.0047076331  5.2191158e-05
             30   0.0050811566  4.3021536e-05    0.004766813  3.9231826e-05   0.0053414296  5.5629889e-05
             35   0.0056078553  4.4798865e-05   0.0052453907  4.0793964e-05   0.0059752112  5.8777461e-05
             40   0.0059360313  4.6176072e-05   0.0055735231  4.2177998e-05   0.0063057144  6.1997022e-05
             45   0.0064935635  4.8440989e-05   0.0060700425  4.4094577e-05   0.0069318995   6.458202e-05
             50   0.0066624818  4.8959578e-05   0.0062262583  4.4445586e-05   0.0070813893  6.4720428e-05
             55   0.0068796039   5.037301e-05   0.0064548585  4.6207506e-05   0.0073096521  6.8194154e-05
             60   0.0069851404  5.0572168e-05   0.0065404757  4.6088701e-05    0.007383202  6.7896322e-05
             65   0.0070896095  5.0352348e-05   0.0066287281  4.5826516e-05   0.0075665519  6.8618334e-05
             70   0.0069892247   5.031457e-05   0.0065544665  4.5634869e-05   0.0073731651  6.8024888e-05
             75   0.0069622674  4.9818408e-05    0.006525845  4.5616383e-05   0.0073760732   6.941743e-05
             80   0.0069464455  5.0233026e-05   0.0065143921  4.6045473e-05   0.0072855057  6.9508401e-05
             85   0.0067596456  4.9634092e-05   0.0063307181  4.5617533e-05   0.0071313484  6.8672425e-05
             90   0.0065580045   4.819596e-05   0.0061173935  4.3645979e-05   0.0069961877  6.8194844e-05
             95   0.0063078294  4.7714994e-05    0.005910591  4.3968067e-05   0.0066641556  6.8304034e-05
            100   0.0060877067  4.6286077e-05   0.0056646797    4.19813e-05   0.0065125805  6.3267927e-05
            105   0.0057833703   4.583587e-05   0.0054034326  4.1773049e-05   0.0060905604  6.2312116e-05
            110   0.0055630787  4.4626864e-05   0.0051880343  4.1001263e-05   0.0058795608  6.0709623e-05
            115   0.0053057767  4.3446094e-05   0.0049169603  3.9238304e-05   0.0057001536  5.9364837e-05
            120   0.0049843877  4.2128632e-05   0.0046593382  3.8322805e-05   0.0053669219  5.7220461e-05
            125   0.0048448992  4.1539237e-05   0.0045210408  3.7957682e-05   0.0051745887  5.5815226e-05
            130   0.0045739498  3.9955861e-05   0.0042648032   3.621084e-05   0.0048592358  5.2451258e-05
            135   0.0043789548  3.8975811e-05   0.0040806751  3.5182034e-05    0.004666588  5.1658319e-05
            140   0.0040688788  3.8456864e-05   0.0037989283  3.5172138e-05   0.0043071373  4.9476435e-05
            145   0.0038091021  3.7045212e-05    0.003543038  3.3475753e-05   0.0040671474  4.7444625e-05
            150     0.00356433  3.6134357e-05   0.0033153524  3.3096616e-05   0.0037942473  4.5393567e-05
            155   0.0033382452  3.4949706e-05   0.0031087844  3.1817071e-05   0.0035254702   4.422641e-05
            160   0.0031713256  3.3455609e-05   0.0029284379  3.0280417e-05   0.0034116845  4.2139572e-05
            165   0.0029554318  3.2542143e-05   0.0027419109   2.958328e-05   0.0031653114  4.0808767e-05
            170   0.0028202468  3.1847675e-05   0.0026000147  2.8636604e-05   0.0030483281  3.9298866e-05
            175   0.0026134455  3.0417601e-05   0.0024287452  2.7442607e-05   0.0027917806    3.81317e-05
            180   0.0024497885  2.9495154e-05   0.0022662152   2.675174e-05    0.002619444  3.6595019e-05
            185   0.0022899772  2.8173598e-05   0.0021223298  2.5398814e-05   0.0024546124  3.5487983e-05
