#  dphiaa-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.12741754  0.00085227513     0.11803259   0.0007897875      0.1360905    0.001065953
     0.31415927     0.16073307  0.00096898236     0.14940574  0.00091273804     0.17062786   0.0012175743
     0.62831853     0.20628423   0.0010660437     0.19099638  0.00097784968     0.22078871   0.0013439847
      0.9424778     0.24464213   0.0011638023     0.22780018    0.001072983     0.26052264   0.0014798037
      1.2566371      0.2695887   0.0012356185     0.25198668   0.0011464721     0.28614274   0.0016288421
      1.5707963     0.27561041   0.0012454499     0.25789548   0.0011510041     0.29488155   0.0017231162
      1.8849556     0.27219693   0.0012390131     0.25570269   0.0011445622     0.28700793   0.0017338437
      2.1991149     0.26611496   0.0012299692     0.24944205   0.0011325321     0.28083246   0.0016948853
      2.5132741     0.25683258   0.0012105455     0.24101345   0.0011078306     0.27202538   0.0016533249
      2.8274334     0.25221673   0.0011895809     0.23713036   0.0010975487     0.26701811   0.0015766678
      3.1415927     0.25221673   0.0011895809     0.23713036   0.0010975487     0.26701811   0.0015766678
