#     ptphoton1        central        num_err    min (scale)        num_err    max (scale)        num_err
            150    0.003539157  3.5529465e-05   0.0032871405  3.2352241e-05   0.0037692451  4.5455965e-05
            155   0.0031747856  3.3679292e-05   0.0029425619  3.0513761e-05    0.003385412  4.1864652e-05
            160   0.0029087994  3.2445364e-05   0.0026999943  2.9616126e-05   0.0031008793  4.0221603e-05
            165   0.0025996923  3.0740079e-05   0.0024034099  2.7956367e-05    0.002789902  3.8328884e-05
            170   0.0023362883   2.890755e-05   0.0021666634  2.6103129e-05   0.0024882468  3.6206294e-05
            175   0.0022055442    2.78683e-05   0.0020322245   2.502373e-05   0.0023698046  3.4863215e-05
            180    0.002019668  2.6632274e-05   0.0018589924  2.3957162e-05   0.0021801186  3.3352702e-05
            185   0.0017794689   2.505605e-05   0.0016449556  2.2432834e-05    0.001906881  3.1368641e-05
            190   0.0016628436  2.4269061e-05   0.0015361561  2.1837984e-05   0.0017815354  3.0297956e-05
            195    0.001502725  2.2910599e-05   0.0013789522  2.0532544e-05   0.0016293543  2.8500502e-05
            200   0.0013730302  2.2002337e-05   0.0012604834  1.9610237e-05   0.0014837915  2.7492836e-05
            205   0.0012546868  2.0765901e-05   0.0011548059  1.8540205e-05   0.0013605821  2.6026026e-05
            210   0.0011338852  2.0549563e-05    0.001035423  1.8366305e-05   0.0012110338  2.5123747e-05
            215   0.0010798648  1.9332492e-05  0.00098078751  1.7235259e-05    0.001178365  2.4005083e-05
            220   0.0010007101  1.8636648e-05  0.00091196419  1.6565681e-05   0.0010851439  2.3163413e-05
            225  0.00091911184  1.7778456e-05  0.00084216581  1.5937238e-05  0.00098629578  2.2237248e-05
            230  0.00079291021  1.6571426e-05  0.00071716167    1.45793e-05  0.00086512389  2.0868028e-05
            235  0.00074241537  1.6276447e-05   0.0006721302  1.4281443e-05  0.00081181663  2.0321088e-05
            240  0.00067062723  1.5630161e-05  0.00061528787  1.3856162e-05  0.00072217575  1.9495908e-05
            245  0.00061010912   1.490018e-05    0.000556204  1.3236276e-05  0.00066424754  1.8483462e-05
            250  0.00058079532  1.4003888e-05  0.00052522975  1.2245186e-05  0.00064362145   1.764556e-05
            255  0.00051381427  1.3340856e-05  0.00046659902  1.1717659e-05  0.00056531679  1.6711947e-05
            260   0.0004809523  1.2870209e-05  0.00043486463  1.1248127e-05  0.00053325475  1.6281572e-05
            265  0.00047817966  1.2853354e-05  0.00043591331  1.1437117e-05  0.00051935507  1.6025816e-05
            270  0.00040833186  1.1932833e-05  0.00036649554  1.0376183e-05  0.00044834634  1.4858725e-05
            275  0.00038630274   1.149322e-05  0.00034812007  1.0019515e-05  0.00042761265  1.4522124e-05
            280  0.00034203528  1.1016219e-05  0.00030270469  9.4669693e-06  0.00038460608   1.390909e-05
            285  0.00030345462  1.0311024e-05  0.00026941831  8.9162822e-06  0.00033554279  1.3064138e-05
            290   0.0002909967  1.0016416e-05  0.00026073316   8.671265e-06  0.00032648737    1.26676e-05
            295  0.00027444244  9.8352435e-06   0.0002479799  8.5178969e-06  0.00030700014  1.2381309e-05
            300  0.00025352412  9.4317297e-06  0.00022583423  8.1827035e-06  0.00028219909  1.1663268e-05
            305   0.0002456056    9.29572e-06  0.00022477833   8.116026e-06  0.00026435321  1.1640122e-05
            310  0.00022048705  8.6247286e-06  0.00019285058  7.4392934e-06  0.00025160794  1.0779303e-05
            315   0.0002018015  8.4171927e-06   0.0001787642  7.2382352e-06  0.00022994034  1.0690772e-05
            320  0.00017256458  7.7294698e-06  0.00015325467  6.5871049e-06  0.00019578279  9.8898298e-06
            325  0.00015187358  7.1667034e-06  0.00012710695  6.0263131e-06  0.00017521771  9.0980073e-06
            330  0.00014542636  7.0362341e-06   0.0001290099  5.9395915e-06  0.00016837903  9.0499748e-06
            335  0.00013984954  6.9555894e-06  0.00012702836  5.9875704e-06  0.00016453185  8.9221331e-06
            340   0.0001264768  6.6664707e-06  0.00010849987  5.5889765e-06  0.00014363625  8.4468953e-06
            345  0.00012314057  6.4300475e-06  0.00010734859  5.4678607e-06   0.0001367837  7.9928003e-06
            350  0.00010185874  5.8037282e-06   8.469097e-05  4.8302533e-06  0.00011811724  7.3635802e-06
            355   9.977765e-05  5.7902576e-06  8.2074494e-05  4.7580731e-06  0.00011487002  7.3661492e-06
            360  7.8662264e-05   5.114954e-06  6.4061329e-05  4.1300777e-06  9.5575114e-05  6.6023098e-06
            365  7.9281608e-05  5.2023665e-06  6.6289365e-05  4.2636653e-06  9.2997796e-05  6.7180942e-06
            370  6.3315833e-05  4.7980275e-06  4.4130624e-05  3.5700651e-06  8.2144662e-05  6.5220485e-06
            375   7.590782e-05  5.0652727e-06   6.408563e-05  4.2086308e-06  8.9433601e-05  6.4818307e-06
            380  7.1895824e-05  4.9792894e-06  5.9631016e-05  4.0667388e-06   8.588525e-05  6.3285224e-06
            385  5.3907308e-05  4.5435264e-06  4.0464194e-05  3.5393907e-06  6.8489048e-05  5.9994472e-06
            390  5.4802418e-05   4.386166e-06  4.5228377e-05  3.5930184e-06  6.8451707e-05  5.8539627e-06
            395  4.6700441e-05   4.107486e-06  2.0090654e-05  2.5402203e-06  6.0570431e-05  5.2989965e-06
            400  4.9948716e-05  4.1170979e-06   3.899335e-05  3.2893412e-06  6.0852846e-05  5.2011832e-06
            405  4.8940014e-05  4.0829636e-06  3.6451269e-05   3.177556e-06  6.2093882e-05  5.3632931e-06
            410    5.25592e-05  4.4136345e-06  3.5593379e-05  3.3171421e-06  6.9909194e-05  5.7341719e-06
            415  3.5456577e-05  3.9166566e-06   1.265231e-07  4.5702188e-07  5.1870538e-05  5.2624566e-06
            420  4.1817241e-05  4.1592164e-06  3.1384975e-05  3.2520903e-06  5.2848279e-05  5.3890341e-06
            425  3.2440866e-05   3.644774e-06  1.0614239e-05  2.1466889e-06  5.1001476e-05  5.1944698e-06
            430  2.4410768e-05  3.3947613e-06  1.6253964e-06  6.8353142e-07  4.4735279e-05  4.9890914e-06
            435   2.241405e-05  3.1752884e-06  8.4897581e-06   1.657662e-06  4.1652848e-05   4.708619e-06
            440  3.8529121e-05  3.8904139e-06  3.1524904e-05   3.153737e-06   4.626112e-05  5.0495023e-06
            445  2.8870967e-05  3.6629618e-06  8.2841126e-06  1.8888979e-06  4.1073901e-05  4.9275985e-06
            450  3.4325534e-05  3.6830407e-06    2.63497e-05    2.87925e-06  4.3149488e-05   4.706415e-06
            455  1.2843067e-05  2.4454848e-06  9.5040188e-07    6.56578e-07  3.9787904e-05  4.5104953e-06
            460   1.996617e-05  3.1351505e-06  1.6994521e-05  3.3901685e-06  3.8080867e-05  4.9779148e-06
            465  1.4099608e-05  2.8857663e-06  1.5214069e-06  6.6135723e-07  3.5256775e-05  4.8865812e-06
            470  1.8121072e-05  3.2048693e-06  2.1355644e-06  1.3003829e-06  3.3578777e-05  4.8404113e-06
            475   2.861149e-05  3.7206934e-06  1.9588853e-05  2.7645836e-06  3.6600772e-05  4.7758733e-06
            480  1.4126054e-05  3.2415434e-06  5.1006713e-07  3.3776956e-07   3.109331e-05  4.9790002e-06
            485  1.1663791e-05  2.8750038e-06 -7.0879623e-08  7.9800518e-08  3.1941604e-05  4.7310643e-06
            490  3.0579834e-06  1.9482896e-06  3.0579834e-06  1.9482896e-06  2.6735898e-05  4.8448654e-06
            495  2.4123593e-05  3.9180166e-06  5.5063914e-06  1.8471836e-06  3.3999196e-05  5.3344759e-06
            500  2.4123593e-05  3.9180166e-06  5.5063914e-06  1.8471836e-06  3.3999196e-05  5.3344759e-06
