# YHABSfine-aaf        central        num_err    min (scale)        num_err    max (scale)        num_err
# idR3
              0      0.5035802   0.0029764292     0.46992249   0.0027132941       0.537741   0.0039075202
            0.1     0.49889782   0.0029726882      0.4652538   0.0027153615     0.52983786   0.0038453832
            0.2     0.48617503   0.0029236185     0.45369909   0.0026644628     0.51743497   0.0038455283
            0.3     0.46818314   0.0028755742     0.43747471   0.0026282507     0.49605915   0.0037543001
            0.4     0.45539093   0.0028500249     0.42616772   0.0026114224     0.48111111   0.0036942358
            0.5     0.43514318   0.0027774499     0.40685333   0.0025614091     0.46111877   0.0035544662
            0.6     0.40664647   0.0027105733      0.3809455   0.0025127315     0.43087522   0.0035181157
            0.7     0.38426501    0.002618315     0.35882819   0.0024048068     0.40860784   0.0034210932
            0.8     0.35409273   0.0025297536     0.33156292   0.0023202537     0.37465957   0.0033129295
            0.9     0.32461118    0.002431454     0.30357199   0.0022298228     0.34342918     0.00313838
              1     0.29431592   0.0023119577     0.27436831   0.0021017159     0.31336333   0.0030326579
            1.1     0.26234194   0.0021698112     0.24543085   0.0019773035     0.27731467   0.0028755488
            1.2     0.23341207   0.0020471738     0.21787545   0.0018644899     0.24882794   0.0027097366
            1.3     0.20519481   0.0018993692     0.19058252    0.001715111     0.22023097   0.0025160483
            1.4     0.17619216   0.0017880081     0.16343273   0.0016214448     0.18752047    0.002392916
            1.5     0.15602051   0.0016835841     0.14486858   0.0015193894     0.16622265   0.0022338798
            1.6     0.12522973   0.0015134527     0.11666111   0.0013685361     0.13501191   0.0020210381
            1.7     0.10506946   0.0013802598     0.09768538   0.0012358179      0.1126508   0.0018829651
            1.8    0.086306104   0.0012684787    0.079586489   0.0011395771    0.092473392   0.0017252251
            1.9    0.066558339    0.001114404    0.062085337  0.00099774307    0.070805249   0.0015026643
              2    0.050709395  0.00097246041    0.046597914  0.00086621643    0.054502865   0.0013138691
            2.1    0.033916149  0.00078752561     0.03098694  0.00069610829    0.037106217   0.0010503136
            2.2    0.020142762  0.00061076246    0.018678906  0.00053276568    0.021432652  0.00082125887
            2.3     0.00863816  0.00040587881   0.0077878464  0.00034091418   0.0089551583   0.0005452247
            2.4   0.0015372313  0.00017493594  0.00010319377   3.426758e-05   0.0025723582   0.0002588776
            2.5              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.7              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
            2.9              0              0              0              0              0              0
              3              0              0              0              0              0              0
            3.1              0              0              0              0              0              0
            3.2              0              0              0              0              0              0
            3.3              0              0              0              0              0              0
            3.4              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            3.6              0              0              0              0              0              0
            3.7              0              0              0              0              0              0
            3.8              0              0              0              0              0              0
            3.9              0              0              0              0              0              0
              4              0              0              0              0              0              0
            4.1              0              0              0              0              0              0
            4.2              0              0              0              0              0              0
            4.3              0              0              0              0              0              0
            4.4              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
