# total-aafidR2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.73510417  0.00096149385     0.68827187  0.00091477439     0.78096295   0.0014615161
              1     0.73510417  0.00096149385     0.68827187  0.00091477439     0.78096295   0.0014615161
