# YHABSfine-aaf        central        num_err    min (scale)        num_err    max (scale)        num_err
# idR2
              0     0.55297597   0.0031130004     0.51582571   0.0028457498     0.58959266   0.0040644157
            0.1     0.55195772   0.0031153999     0.51473054   0.0028543774     0.58586383   0.0040100548
            0.2     0.53822239   0.0030628413     0.50212282   0.0027932197     0.57218369   0.0040281429
            0.3     0.52355432   0.0030305139      0.4889636   0.0027739399     0.55467471   0.0039652952
            0.4     0.51485195   0.0030164488     0.48160324   0.0027656798     0.54406866   0.0039026077
            0.5     0.49890671   0.0029584504     0.46613422   0.0027271595     0.52942573   0.0038010457
            0.6     0.47314209   0.0029109821     0.44307957   0.0027055089     0.50122663   0.0037626176
            0.7     0.45180129    0.002838509     0.42162623   0.0026125963     0.48008093   0.0036846474
            0.8     0.42406715   0.0027531409     0.39718768   0.0025294231      0.4484095   0.0036072736
            0.9     0.39774053   0.0026763782     0.37141201   0.0024598045     0.42286101    0.003452815
              1     0.36778147   0.0025761203      0.3434165   0.0023546613     0.39001086   0.0033652867
            1.1     0.33829305   0.0024649607      0.3159829   0.0022584627      0.3583672   0.0032470465
            1.2     0.31010202   0.0023476717     0.28985178   0.0021460671     0.32988784   0.0030960614
            1.3     0.27719594   0.0022170121     0.25791204   0.0020170012     0.29698367   0.0029300304
            1.4     0.23660222   0.0020790242     0.22024022   0.0019018296     0.25021705    0.002780783
            1.5     0.20502783   0.0019283967     0.19069387   0.0017447851     0.21873722   0.0025789765
            1.6     0.17000871   0.0017584481     0.15916479   0.0015960056     0.18208729   0.0023734991
            1.7     0.13935705   0.0015851712     0.12973291   0.0014246528     0.14824945   0.0021541985
            1.8     0.10947311   0.0014255631      0.1013155   0.0012872791     0.11684988   0.0019525623
            1.9    0.081929732   0.0012303645    0.076369062   0.0011046577    0.087437607    0.001655121
              2    0.060137188   0.0010548165    0.055500567  0.00094514062    0.064648739   0.0014323043
            2.1      0.0389492  0.00084238423    0.035640285  0.00074885472    0.042487965   0.0011169131
            2.2    0.022833032  0.00064734467    0.021193241  0.00056699525    0.024316867  0.00086819262
            2.3   0.0095710901  0.00042652062   0.0086651429  0.00036026821    0.010016585  0.00057542212
            2.4   0.0017114997  0.00018299478  0.00010815846  3.4552965e-05   0.0028040526  0.00027202172
            2.5              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.7              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
            2.9              0              0              0              0              0              0
              3              0              0              0              0              0              0
            3.1              0              0              0              0              0              0
            3.2              0              0              0              0              0              0
            3.3              0              0              0              0              0              0
            3.4              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            3.6              0              0              0              0              0              0
            3.7              0              0              0              0              0              0
            3.8              0              0              0              0              0              0
            3.9              0              0              0              0              0              0
              4              0              0              0              0              0              0
            4.1              0              0              0              0              0              0
            4.2              0              0              0              0              0              0
            4.3              0              0              0              0              0              0
            4.4              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
