#         total        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      477.80396     0.45479311       447.6018     0.43808633      506.98023     0.77825975
              1      477.80396     0.45479311       447.6018     0.43808633      506.98023     0.77825975
