#       ptHzoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  2.2235333e-05  1.2628986e-05  3.4413873e-06  2.5254249e-06  0.00011605292  2.5269548e-05
              1  0.00011238987   1.633409e-05  1.5177387e-05  4.5940422e-06  0.00018912819  2.3531624e-05
              2  0.00028773626  2.2611826e-05  2.3269601e-05  6.4420073e-06  0.00037789906  3.1195461e-05
              3  0.00048428861   2.919204e-05  0.00043609942  2.4932948e-05  0.00052087391  3.6412627e-05
              4  0.00066931175  3.3786411e-05   0.0006023039  2.8823902e-05  0.00074642653  4.3643199e-05
              5  0.00081903368  3.7796245e-05  0.00069573324   3.145986e-05  0.00093303871  4.9555121e-05
              6  0.00095620547  4.0838571e-05  0.00086295877  3.4704529e-05   0.0010721056  5.4107089e-05
              7   0.0011887732  4.6129316e-05   0.0010711949   3.978076e-05   0.0012981563  5.8970033e-05
              8   0.0013728941  4.9514766e-05   0.0012659365  4.3055419e-05   0.0014982944  6.4575295e-05
              9   0.0015291923  5.1777669e-05   0.0013946659  4.4881867e-05   0.0016928831  6.6883762e-05
             10   0.0016583581  5.3968966e-05   0.0015113845  4.6866763e-05    0.001798456  6.9858055e-05
             11   0.0018623263  5.5949968e-05    0.001687354  4.8569163e-05     0.00206656  7.1416972e-05
             12   0.0019524102  5.8640452e-05   0.0017903602   5.104061e-05   0.0021219885  7.6270557e-05
             13   0.0022303633  6.2659271e-05   0.0020457513  5.4503014e-05   0.0024538367  8.0893945e-05
             14   0.0023343082  6.4861485e-05    0.002152314  5.6777456e-05   0.0025112078  8.3154488e-05
             15   0.0024960621  6.5927724e-05   0.0023049078  5.7648721e-05   0.0026884942  8.5913063e-05
             16   0.0027138915  6.9867295e-05   0.0025027398  6.1200814e-05   0.0029048134  9.0079251e-05
             17   0.0027942467  7.0153618e-05   0.0025694357  6.1206715e-05   0.0030290552  9.0903027e-05
             18   0.0031096609  7.5289396e-05   0.0028770267  6.6747413e-05   0.0033362637  9.6465348e-05
             19   0.0031485757  7.3947521e-05   0.0028872917  6.4925364e-05   0.0034274655  9.4907118e-05
             20   0.0032101471  7.4875287e-05   0.0029460794  6.5433882e-05   0.0034947299    9.71871e-05
             21   0.0034868518  7.8389959e-05   0.0032596074  6.9583145e-05    0.003689062  0.00010092215
             22    0.003609832  8.0183492e-05   0.0033381083  7.0530455e-05   0.0038779349  0.00010222906
             23    0.003706662  8.1410486e-05   0.0034519817  7.2042441e-05   0.0039383842  0.00010596576
             24   0.0037945112  8.1246716e-05   0.0035425841  7.1618489e-05   0.0040755818  0.00010520221
             25   0.0041000765   8.602274e-05   0.0038355172  7.6926846e-05   0.0042876889  0.00011158581
             26   0.0042941782  8.7171157e-05   0.0039750544  7.6840284e-05    0.004578148  0.00011234199
             27   0.0043068137  8.7710758e-05   0.0039929031  7.7492833e-05   0.0046026901  0.00011339686
             28   0.0043358496  8.7928305e-05   0.0040419626  7.8227705e-05   0.0046002456  0.00011410769
             29   0.0046159371  9.0451111e-05   0.0042781552  7.9926881e-05   0.0049462342  0.00011713805
             30    0.004656948   9.040398e-05   0.0043114136  7.9604293e-05   0.0049845839  0.00011829595
             31   0.0049050847  9.4724335e-05   0.0045874143   8.598948e-05   0.0051392737  0.00011967559
             32   0.0050356891  9.4671099e-05    0.004704472  8.3533383e-05   0.0053783496  0.00012259466
             33   0.0050650408  9.4139165e-05   0.0047195532  8.4182884e-05   0.0053514743  0.00012209949
             34   0.0051314217   9.640647e-05    0.004762429  8.6275577e-05   0.0054481679   0.0001243922
             35    0.005233868  9.6370928e-05   0.0048344382  8.5877747e-05   0.0056183146  0.00012491115
             36   0.0053684283  9.8635426e-05   0.0050016481  8.7422835e-05   0.0057425545  0.00012936185
             37   0.0055693948  9.8973264e-05   0.0051851114   8.868414e-05   0.0059894823  0.00012835724
             38   0.0055375179  9.9114043e-05   0.0051476665  8.8736423e-05   0.0058966253  0.00012786799
             39   0.0056072394  9.9986309e-05   0.0051680327  8.8123523e-05   0.0060010173  0.00012979767
             40   0.0054592641  9.9331028e-05   0.0050783851  8.7448016e-05   0.0058562954  0.00013088464
             41   0.0056646543  9.9555237e-05   0.0052415754  8.8418788e-05   0.0060727679  0.00013012288
             42   0.0059341144  0.00010293802   0.0055607078  9.1741669e-05   0.0063597716  0.00013588881
             43   0.0059150061    0.000102848   0.0055040006  9.1614695e-05   0.0063545829  0.00013571803
             44   0.0060143659  0.00010380311   0.0056273024  9.3947437e-05   0.0063701086  0.00013484689
             45    0.006255354  0.00010627323   0.0057895328  9.4518383e-05   0.0067433529  0.00013862232
             46   0.0062871322  0.00010480263   0.0058591358  9.3735421e-05   0.0067095241   0.0001373142
             47   0.0064383058  0.00010668393   0.0059640858  9.5014362e-05   0.0068687631  0.00013814126
             48   0.0064012336  0.00010667887    0.005945167  9.4875133e-05   0.0068156095  0.00014215464
             49   0.0063754635  0.00010616149   0.0058831713  9.4111558e-05   0.0069439557  0.00013916425
             50   0.0063754635  0.00010616149   0.0058831713  9.4111558e-05   0.0069439557  0.00013916425
