#        dphiaa        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.18608321   0.0010285725     0.17288233  0.00095504266     0.19875131   0.0013171433
     0.31415927     0.22363336   0.0011409733     0.20822751   0.0010803286     0.23796778   0.0014577233
     0.62831853     0.27560544   0.0012279223      0.2557726   0.0011301565     0.29490329   0.0015699867
      0.9424778     0.32419699    0.001345015     0.30223089    0.001237887     0.34455686    0.001734124
      1.2566371     0.36573942   0.0014282765     0.34178466   0.0013296356     0.38814511   0.0019355689
      1.5707963     0.39181023   0.0015053606     0.36715754   0.0014010214     0.41695314   0.0020985264
      1.8849556     0.40667698   0.0015079552     0.38169842   0.0013968137     0.42980476   0.0021277295
      2.1991149     0.41980001   0.0015406909     0.39356576   0.0014399333     0.44463101   0.0021864262
      2.5132741      0.4233625   0.0015457911     0.39672381   0.0014285641     0.44831665   0.0021180021
      2.8274334     0.42675392   0.0015575762     0.40091222   0.0014516334     0.45243259   0.0021380944
      3.1415927     0.42675392   0.0015575762     0.40091222   0.0014516334     0.45243259   0.0021380944
