# PTH_HIG19016-        central        num_err    min (scale)        num_err    max (scale)        num_err
# aafidR3
              0  0.00023325893  8.9571543e-06  0.00021458512  7.8170896e-06  0.00025404929  1.1396141e-05
              5  0.00075464988   1.653237e-05  0.00070268403  1.4668044e-05  0.00080407902  2.1179457e-05
             10   0.0012585185  2.0915522e-05    0.001166374  1.8599305e-05   0.0013542009  2.6718198e-05
             15   0.0017532238  2.5248955e-05   0.0016398219  2.2662985e-05   0.0018562584  3.2634728e-05
             20   0.0021499802  2.7510169e-05   0.0020186243  2.4602867e-05   0.0022864153  3.5847217e-05
             25   0.0026018272  3.0533388e-05    0.002437646  2.7419364e-05   0.0027649954  3.9701579e-05
             30   0.0029384281  3.2626918e-05   0.0027460535  2.9523239e-05    0.003108186  4.2120433e-05
             35   0.0033027666  2.4287904e-05   0.0030939861  2.1974791e-05   0.0035184929  3.2145752e-05
             45   0.0037659711  2.1432432e-05   0.0035362702  1.9722354e-05   0.0039896364  2.8536099e-05
             60   0.0038397271  1.8492464e-05   0.0035999927  1.6928729e-05   0.0040655945  2.5517595e-05
             80   0.0035520077  1.7936189e-05   0.0033351177  1.6537925e-05   0.0037374854  2.5926139e-05
            100   0.0029963752  1.6349504e-05    0.002798797   1.506135e-05    0.003191101  2.2944923e-05
            120   0.0025526003  1.4867499e-05   0.0023876435  1.3573495e-05   0.0027267398   2.036451e-05
            140   0.0019814348  1.0946476e-05   0.0018499043   1.020981e-05   0.0020972323  1.3996438e-05
            170   0.0014358811  9.2353876e-06   0.0013365078  8.5118872e-06   0.0015336172   1.142556e-05
            200   0.0009027979  5.6415838e-06  0.00083861953  5.1814948e-06  0.00096634198   6.987014e-06
            250  0.00040215037   2.704083e-06  0.00037137101   2.528283e-06  0.00042985805  3.2976387e-06
            350  0.00013218672  1.5304953e-06  0.00012094015  1.3793093e-06  0.00014303935  1.8882198e-06
            450  5.8612415e-07  8.8498044e-09  5.3803236e-07  8.0311156e-09  6.2915369e-07  1.0859667e-08
          14000  5.8612415e-07  8.8498044e-09  5.3803236e-07  8.0311156e-09  6.2915369e-07  1.0859667e-08
