# ptHfine-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
# R3
              0   1.018772e-05  1.3275916e-05  2.9160399e-06  2.5308026e-06  7.6222004e-05  2.8035113e-05
              1  9.7921813e-05  1.5575211e-05   6.278173e-06  2.7506536e-06   0.0001737331  2.2278763e-05
              2  0.00015583481  1.7448997e-05  9.4872385e-05  1.2514945e-05  0.00021507087  2.3811749e-05
              3   0.0002155658  2.0027846e-05  0.00011680475  1.3698952e-05  0.00027168401  2.6602077e-05
              4  0.00035981731  2.4930803e-05  0.00030193402  2.0552275e-05  0.00041476786  3.2049453e-05
              5  0.00039736855  2.6700395e-05  0.00026344421  2.0175154e-05  0.00047275648  3.3917841e-05
              6  0.00047563553  2.9191493e-05  0.00039851506  2.3572101e-05  0.00055768564  3.9135597e-05
              7  0.00065969651  3.4100461e-05   0.0005808958  2.8777505e-05  0.00073943306  4.3705106e-05
              8  0.00073878067  3.6311036e-05  0.00066850855  3.1024933e-05  0.00081986823  4.7228217e-05
              9  0.00073801842  3.6307514e-05   0.0006718223  3.0943516e-05  0.00089126334  4.9886988e-05
             10  0.00088663907  3.9237963e-05  0.00080367691  3.3704773e-05  0.00098260179   5.116856e-05
             11   0.0010841451   4.241357e-05   0.0009745491  3.6515895e-05   0.0012131034  5.3930491e-05
             12   0.0011248295  4.3737743e-05    0.001026905  3.7931042e-05   0.0012400154  5.6782728e-05
             13   0.0012237123  4.6154787e-05   0.0010962876  3.9603966e-05   0.0013946675  6.0037729e-05
             14   0.0013833291  4.9397307e-05   0.0012612123  4.2609393e-05   0.0015059404  6.3124828e-05
             15   0.0014427557  5.0483562e-05   0.0013290856  4.3884103e-05   0.0015644698   6.588883e-05
             16    0.001532588   5.299146e-05   0.0014041354  4.5926946e-05   0.0016480072  6.5678824e-05
             17   0.0016052153  5.3153505e-05   0.0014726352  4.6010225e-05    0.001749155  6.8987014e-05
             18   0.0017754466  5.6411257e-05   0.0016362429  4.9496595e-05   0.0019346019    7.26927e-05
             19   0.0017661125  5.5517372e-05   0.0016172138  4.8213154e-05   0.0019470504  7.2624815e-05
             20    0.001776619  5.6005815e-05   0.0016390057  4.8714992e-05    0.001948017   7.277556e-05
             21   0.0019698382  5.8644159e-05   0.0018242374  5.1455862e-05   0.0021343181  7.6158642e-05
             22   0.0020898592  6.0140034e-05   0.0019261962  5.2278139e-05   0.0022597035  7.7809106e-05
             23   0.0021733836  6.2354587e-05   0.0020280878  5.5132483e-05   0.0023047121  8.0868717e-05
             24   0.0021208471  6.0564945e-05   0.0019584348  5.2692128e-05   0.0023012375  7.8882585e-05
