# PTH_ATLAS2407        central        num_err    min (scale)        num_err    max (scale)        num_err
# 10904_bb
              0   0.0086849531  2.2174659e-05    0.008163511  2.0730279e-05   0.0091877324  3.0715591e-05
             60    0.012969631  2.6039346e-05    0.012165295  2.4411891e-05    0.013695169  4.1139409e-05
            120   0.0068279622  1.6807394e-05   0.0063858638  1.5765954e-05   0.0072611535  2.2858435e-05
            200   0.0022148148   8.867807e-06   0.0020577636  8.3405934e-06    0.002361543  1.0866468e-05
            300  0.00052294941  3.5581775e-06  0.00048100078  3.3048382e-06  0.00056258644  4.3051552e-06
            450  1.6857612e-06  2.2147131e-08  1.5483165e-06  2.0286525e-08  1.8084333e-06  2.6982726e-08
          13000  1.6857612e-06  2.2147131e-08  1.5483165e-06  2.0286525e-08  1.8084333e-06  2.6982726e-08
