#  PTH_HIG19016        central        num_err    min (scale)        num_err    max (scale)        num_err
              0  0.00041534108  1.1994568e-05   0.0003846372   1.052313e-05  0.00044584483   1.530366e-05
              5   0.0013188979  2.1847795e-05   0.0012253678  1.9506169e-05   0.0014083697  2.7848654e-05
             10   0.0021160677  2.7465197e-05   0.0019671713  2.4590713e-05   0.0022693588   3.523622e-05
             15   0.0029942155   3.300616e-05   0.0028039162  2.9889654e-05   0.0031686745  4.2474674e-05
             20   0.0036811467  3.6150443e-05   0.0034565509  3.2554693e-05   0.0039020992   4.672861e-05
             25   0.0044630675  4.0094002e-05   0.0041965757  3.6487438e-05   0.0047076331  5.2191158e-05
             30   0.0050811566  4.3021536e-05    0.004766813  3.9231826e-05   0.0053414296  5.5629889e-05
             35   0.0057950929  3.2167271e-05   0.0054392274  2.9577881e-05   0.0061620282  4.3229847e-05
             45   0.0067091228  2.8499427e-05   0.0062927252  2.6313942e-05   0.0071184694  3.9109236e-05
             60    0.007040076   2.485402e-05   0.0066043619  2.2931555e-05    0.007452911   3.539813e-05
             80   0.0066712005  2.4246091e-05   0.0062539527  2.2618226e-05    0.007026467  3.6760392e-05
            100   0.0057164856    2.23638e-05   0.0053407464  2.0656492e-05   0.0060564275  3.2059551e-05
            120   0.0047240621   2.014708e-05   0.0044232154  1.8502398e-05   0.0050350343  2.8159823e-05
            140   0.0035242883  1.4592872e-05   0.0032958643  1.3800074e-05   0.0037380934  1.8805756e-05
            170   0.0024110394  1.1954541e-05   0.0022458155  1.1011242e-05   0.0025732445  1.4755655e-05
            200   0.0014414244  7.1908497e-06   0.0013395421  6.6813504e-06     0.00153873  8.8188858e-06
            250  0.00059432621  3.2955923e-06  0.00055051863  3.1165278e-06  0.00063457622  3.9846771e-06
            350  0.00018254892   1.794215e-06   0.0001673124   1.627628e-06  0.00019711495  2.2040248e-06
            450  7.8067538e-07  1.0256328e-08  7.1702479e-07   9.394682e-09  8.3748479e-07  1.2495691e-08
          14000  7.8067538e-07  1.0256328e-08  7.1702479e-07   9.394682e-09  8.3748479e-07  1.2495691e-08
