# YH_HIG19016-a        central        num_err    min (scale)        num_err    max (scale)        num_err
# afidR2
              0      0.5552572   0.0025370343     0.51768382   0.0023255107     0.59222309   0.0033223886
           0.15     0.54239652   0.0025023743     0.50699574   0.0022951647     0.57501923   0.0033020537
            0.3     0.52123929   0.0024652274     0.48763039   0.0022678891     0.55120833   0.0032441578
           0.45     0.50488141   0.0024202651     0.47231578   0.0022346179     0.53534472   0.0031290387
            0.6      0.4674319   0.0023541745     0.43758865   0.0021963574     0.49543556   0.0030614009
           0.75     0.43352577   0.0022689978     0.40565643    0.002093048     0.45986759   0.0029869287
            0.9     0.36936999   0.0014772969     0.34565961   0.0013757485     0.39093448   0.0019543667
            1.2     0.25873578     0.00106976     0.24184289  0.00099458302     0.27544625   0.0014609973
            1.6     0.12648231  0.00076448207     0.11843585  0.00070337859     0.13453541   0.0010786802
              2    0.027940089  0.00032592499    0.026050899   0.0002986226    0.029744949  0.00044867476
            2.5    0.027940089  0.00032592499    0.026050899   0.0002986226    0.029744949  0.00044867476
