# PTH_HIG19016-        central        num_err    min (scale)        num_err    max (scale)        num_err
# aafidR2
              0  0.00028281135  9.9130731e-06  0.00026153793  8.6739437e-06  0.00030455317  1.2622744e-05
              5  0.00094805143  1.8452802e-05  0.00088209014   1.645836e-05   0.0010090109  2.3509495e-05
             10   0.0015700077  2.3445372e-05   0.0014603019  2.0954727e-05    0.001679482  2.9819207e-05
             15   0.0021896774   2.814146e-05   0.0020513901  2.5431942e-05    0.002319289  3.6458362e-05
             20   0.0026451666  3.0510157e-05   0.0024796864  2.7365597e-05   0.0028118565  3.9449983e-05
             25   0.0031952666  3.3764329e-05    0.002999326  3.0426278e-05   0.0033805796  4.3948342e-05
             30   0.0035870055  3.5912476e-05   0.0033537188  3.2635632e-05   0.0037926887  4.6186258e-05
             35   0.0039810452  2.6567163e-05   0.0037312016  2.4060776e-05    0.004241571  3.5200229e-05
             45   0.0045357006  2.3424476e-05   0.0042527417  2.1556655e-05    0.004809727  3.1289727e-05
             60   0.0046239522  2.0170104e-05   0.0043363524  1.8518536e-05   0.0048981513  2.7940202e-05
             80   0.0042207085  1.9385601e-05   0.0039602784  1.7877248e-05   0.0044565282  2.8337167e-05
            100   0.0035349974  1.7728042e-05   0.0033040929  1.6407955e-05    0.003763987  2.4780464e-05
            120   0.0029830127  1.5997876e-05   0.0027891144  1.4595804e-05   0.0031814211  2.1908139e-05
            140   0.0023182274  1.1835799e-05   0.0021652416  1.1072935e-05   0.0024532467  1.5069365e-05
            170   0.0016679966  9.9165829e-06   0.0015533354  9.1478306e-06   0.0017782475  1.2257521e-05
            200    0.001056091  6.0962254e-06   0.0009805201  5.6270016e-06   0.0011300247  7.5091263e-06
            250  0.00046744251  2.9117867e-06  0.00043176853  2.7267206e-06  0.00049968622  3.5370147e-06
            350  0.00015324393  1.6414053e-06  0.00014030619  1.4827639e-06  0.00016561258  2.0253446e-06
            450  6.9241463e-07    9.65549e-09  6.3543861e-07  8.8187671e-09  7.4203179e-07  1.1764563e-08
          14000  6.9241463e-07    9.65549e-09  6.3543861e-07  8.8187671e-09  7.4203179e-07  1.1764563e-08
